{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.0064, recall20: 0.0000 recall10: 0.0000 [12.5457]
train_epoch: 1002, loss: 0.0064, recall20: 0.0000 recall10: 0.0000 [12.7041]
train_epoch: 1003, loss: 0.0064, recall20: 0.0000 recall10: 0.0000 [12.7166]
train_epoch: 1004, loss: 0.0064, recall20: 0.0000 recall10: 0.0000 [12.7276]
train_epoch: 1005, loss: 0.0064, recall20: 0.0000 recall10: 0.0000 [12.7388]
train_epoch: 1006, loss: 0.0064, recall20: 0.0000 recall10: 0.0000 [12.7494]
train_epoch: 1007, loss: 0.0063, recall20: 0.0000 recall10: 0.0000 [12.7600]
train_epoch: 1008, loss: 0.0063, recall20: 0.0000 recall10: 0.0000 [12.7703]
train_epoch: 1009, loss: 0.0063, recall20: 0.0000 recall10: 0.0000 [12.7818]
train_epoch: 1010, loss: 0.0063, recall20: 0.0000 recall10: 0.0000 [12.7923]
train_epoch: 1011, loss: 0.0063, recall20: 0.0000 recall10: 0.0000 [12.8028]
train_epoch: 1012, loss: 0.0063, recall20: 0.0000 recall10: 0.0000 [12.8137]
train_epoch: 1013, loss: 0.0062, recall20: 0.0000 recall10: 0.0000 [12.8244]
train_epoch: 1014, loss: 0.0062, recall20: 0.0000 recall10: 0.0000 [12.8360]
train_epoch: 1015, loss: 0.0062, recall20: 0.0000 recall10: 0.0000 [12.8475]
train_epoch: 1016, loss: 0.0062, recall20: 0.0000 recall10: 0.0000 [12.8588]
train_epoch: 1017, loss: 0.0062, recall20: 0.0000 recall10: 0.0000 [12.8727]
train_epoch: 1018, loss: 0.0062, recall20: 0.0000 recall10: 0.0000 [12.8850]
train_epoch: 1019, loss: 0.0061, recall20: 0.0000 recall10: 0.0000 [12.8966]
train_epoch: 1020, loss: 0.0061, recall20: 0.0000 recall10: 0.0000 [12.9081]
train_epoch: 1021, loss: 0.0061, recall20: 0.0000 recall10: 0.0000 [12.9185]
train_epoch: 1022, loss: 0.0061, recall20: 0.0000 recall10: 0.0000 [12.9292]
train_epoch: 1023, loss: 0.0061, recall20: 0.0000 recall10: 0.0000 [12.9392]
train_epoch: 1024, loss: 0.0061, recall20: 0.0000 recall10: 0.0000 [12.9496]
train_epoch: 1025, loss: 0.0061, recall20: 0.0000 recall10: 0.0000 [12.9608]
train_epoch: 1026, loss: 0.0060, recall20: 0.0000 recall10: 0.0000 [12.9713]
train_epoch: 1027, loss: 0.0060, recall20: 0.0000 recall10: 0.0000 [12.9823]
train_epoch: 1028, loss: 0.0060, recall20: 0.0000 recall10: 0.0000 [12.9928]
train_epoch: 1029, loss: 0.0060, recall20: 0.0000 recall10: 0.0000 [13.0030]
train_epoch: 1030, loss: 0.0060, recall20: 0.0000 recall10: 0.0000 [13.0146]
train_epoch: 1031, loss: 0.0060, recall20: 0.0000 recall10: 0.0000 [13.0257]
train_epoch: 1032, loss: 0.0059, recall20: 0.0000 recall10: 0.0000 [13.0357]
train_epoch: 1033, loss: 0.0059, recall20: 0.0000 recall10: 0.0000 [13.0460]
train_epoch: 1034, loss: 0.0059, recall20: 0.0000 recall10: 0.0000 [13.0576]
train_epoch: 1035, loss: 0.0059, recall20: 0.0000 recall10: 0.0000 [13.0692]
train_epoch: 1036, loss: 0.0059, recall20: 0.0000 recall10: 0.0000 [13.0819]
train_epoch: 1037, loss: 0.0059, recall20: 0.0000 recall10: 0.0000 [13.0952]
train_epoch: 1038, loss: 0.0059, recall20: 0.0000 recall10: 0.0000 [13.1090]
train_epoch: 1039, loss: 0.0058, recall20: 0.0000 recall10: 0.0000 [13.1211]
train_epoch: 1040, loss: 0.0058, recall20: 0.0000 recall10: 0.0000 [13.1327]
train_epoch: 1041, loss: 0.0058, recall20: 0.0000 recall10: 0.0000 [13.1463]
train_epoch: 1042, loss: 0.0058, recall20: 0.0000 recall10: 0.0000 [13.1579]
train_epoch: 1043, loss: 0.0058, recall20: 0.0000 recall10: 0.0000 [13.1694]
train_epoch: 1044, loss: 0.0058, recall20: 0.0000 recall10: 0.0000 [13.1821]
train_epoch: 1045, loss: 0.0058, recall20: 0.0000 recall10: 0.0000 [13.1939]
train_epoch: 1046, loss: 0.0057, recall20: 0.0000 recall10: 0.0000 [13.2050]
train_epoch: 1047, loss: 0.0057, recall20: 0.0000 recall10: 0.0000 [13.2162]
train_epoch: 1048, loss: 0.0057, recall20: 0.0000 recall10: 0.0000 [13.2273]
train_epoch: 1049, loss: 0.0057, recall20: 0.0000 recall10: 0.0000 [13.2388]
train_epoch: 1050, loss: 0.0057, recall20: 0.0000 recall10: 0.0000 [13.2496]
train_epoch: 1051, loss: 0.0057, recall20: 0.0000 recall10: 0.0000 [13.2608]
train_epoch: 1052, loss: 0.0057, recall20: 0.0000 recall10: 0.0000 [13.2722]
train_epoch: 1053, loss: 0.0056, recall20: 0.0000 recall10: 0.0000 [13.2840]
train_epoch: 1054, loss: 0.0056, recall20: 0.0000 recall10: 0.0000 [13.3024]
train_epoch: 1055, loss: 0.0056, recall20: 0.0000 recall10: 0.0000 [13.3154]
train_epoch: 1056, loss: 0.0056, recall20: 0.0000 recall10: 0.0000 [13.3271]
train_epoch: 1057, loss: 0.0056, recall20: 0.0000 recall10: 0.0000 [13.3371]
train_epoch: 1058, loss: 0.0056, recall20: 0.0000 recall10: 0.0000 [13.3490]
train_epoch: 1059, loss: 0.0056, recall20: 0.0000 recall10: 0.0000 [13.3612]
train_epoch: 1060, loss: 0.0055, recall20: 0.0000 recall10: 0.0000 [13.3722]
train_epoch: 1061, loss: 0.0055, recall20: 0.0000 recall10: 0.0000 [13.3839]
train_epoch: 1062, loss: 0.0055, recall20: 0.0000 recall10: 0.0000 [13.3948]
train_epoch: 1063, loss: 0.0055, recall20: 0.0000 recall10: 0.0000 [13.4046]
train_epoch: 1064, loss: 0.0055, recall20: 0.0000 recall10: 0.0000 [13.4145]
train_epoch: 1065, loss: 0.0055, recall20: 0.0000 recall10: 0.0000 [13.4264]
train_epoch: 1066, loss: 0.0055, recall20: 0.0000 recall10: 0.0000 [13.4388]
train_epoch: 1067, loss: 0.0054, recall20: 0.0000 recall10: 0.0000 [13.4482]
train_epoch: 1068, loss: 0.0054, recall20: 0.0000 recall10: 0.0000 [13.4597]
train_epoch: 1069, loss: 0.0054, recall20: 0.0000 recall10: 0.0000 [13.4711]
train_epoch: 1070, loss: 0.0054, recall20: 0.0000 recall10: 0.0000 [13.4824]
train_epoch: 1071, loss: 0.0054, recall20: 0.0000 recall10: 0.0000 [13.4939]
train_epoch: 1072, loss: 0.0054, recall20: 0.0000 recall10: 0.0000 [13.5051]
train_epoch: 1073, loss: 0.0054, recall20: 0.0000 recall10: 0.0000 [13.5169]
train_epoch: 1074, loss: 0.0054, recall20: 0.0000 recall10: 0.0000 [13.5276]
train_epoch: 1075, loss: 0.0053, recall20: 0.0000 recall10: 0.0000 [13.5380]
train_epoch: 1076, loss: 0.0053, recall20: 0.0000 recall10: 0.0000 [13.5483]
train_epoch: 1077, loss: 0.0053, recall20: 0.0000 recall10: 0.0000 [13.5582]
train_epoch: 1078, loss: 0.0053, recall20: 0.0000 recall10: 0.0000 [13.5680]
