{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 0.4828, recall20: 0.0000 recall10: 0.0000 [57.2416]
train_epoch: 1002, loss: 0.4827, recall20: 0.0000 recall10: 0.0000 [57.2888]
train_epoch: 1003, loss: 0.4827, recall20: 0.0000 recall10: 0.0000 [57.3233]
train_epoch: 1004, loss: 0.4826, recall20: 0.0000 recall10: 0.0000 [57.3687]
train_epoch: 1005, loss: 0.4826, recall20: 0.0000 recall10: 0.0000 [57.4102]
train_epoch: 1006, loss: 0.4825, recall20: 0.0000 recall10: 0.0000 [57.4491]
train_epoch: 1007, loss: 0.4825, recall20: 0.0000 recall10: 0.0000 [57.4973]
train_epoch: 1008, loss: 0.4824, recall20: 0.0000 recall10: 0.0000 [57.5475]
train_epoch: 1009, loss: 0.4824, recall20: 0.0000 recall10: 0.0000 [57.5960]
train_epoch: 1010, loss: 0.4823, recall20: 0.0000 recall10: 0.0000 [57.6422]
train_epoch: 1011, loss: 0.4823, recall20: 0.0000 recall10: 0.0000 [57.6862]
train_epoch: 1012, loss: 0.4822, recall20: 0.0000 recall10: 0.0000 [57.7318]
train_epoch: 1013, loss: 0.4822, recall20: 0.0000 recall10: 0.0000 [57.7771]
train_epoch: 1014, loss: 0.4821, recall20: 0.0000 recall10: 0.0000 [57.8224]
train_epoch: 1015, loss: 0.4821, recall20: 0.0000 recall10: 0.0000 [57.8683]
train_epoch: 1016, loss: 0.4820, recall20: 0.0000 recall10: 0.0000 [57.9019]
train_epoch: 1017, loss: 0.4820, recall20: 0.0000 recall10: 0.0000 [57.9487]
train_epoch: 1018, loss: 0.4819, recall20: 0.0000 recall10: 0.0000 [57.9957]
train_epoch: 1019, loss: 0.4819, recall20: 0.0000 recall10: 0.0000 [58.0381]
train_epoch: 1020, loss: 0.4818, recall20: 0.0000 recall10: 0.0000 [58.0790]
train_epoch: 1021, loss: 0.4818, recall20: 0.0000 recall10: 0.0000 [58.1234]
train_epoch: 1022, loss: 0.4817, recall20: 0.0000 recall10: 0.0000 [58.1707]
train_epoch: 1023, loss: 0.4817, recall20: 0.0000 recall10: 0.0000 [58.2096]
train_epoch: 1024, loss: 0.4816, recall20: 0.0000 recall10: 0.0000 [58.2544]
train_epoch: 1025, loss: 0.4816, recall20: 0.0000 recall10: 0.0000 [58.2987]
train_epoch: 1026, loss: 0.4815, recall20: 0.0000 recall10: 0.0000 [58.3386]
train_epoch: 1027, loss: 0.4815, recall20: 0.0000 recall10: 0.0000 [58.3849]
train_epoch: 1028, loss: 0.4815, recall20: 0.0000 recall10: 0.0000 [58.4309]
train_epoch: 1029, loss: 0.4814, recall20: 0.0000 recall10: 0.0000 [58.4773]
train_epoch: 1030, loss: 0.4814, recall20: 0.0000 recall10: 0.0000 [58.5220]
train_epoch: 1031, loss: 0.4813, recall20: 0.0000 recall10: 0.0000 [58.5630]
train_epoch: 1032, loss: 0.4813, recall20: 0.0000 recall10: 0.0000 [58.6084]
train_epoch: 1033, loss: 0.4812, recall20: 0.0000 recall10: 0.0000 [58.6502]
train_epoch: 1034, loss: 0.4812, recall20: 0.0000 recall10: 0.0000 [58.6945]
train_epoch: 1035, loss: 0.4811, recall20: 0.0000 recall10: 0.0000 [58.7406]
train_epoch: 1036, loss: 0.4811, recall20: 0.0000 recall10: 0.0000 [58.7833]
train_epoch: 1037, loss: 0.4810, recall20: 0.0000 recall10: 0.0000 [58.8294]
train_epoch: 1038, loss: 0.4810, recall20: 0.0000 recall10: 0.0000 [58.8768]
train_epoch: 1039, loss: 0.4809, recall20: 0.0000 recall10: 0.0000 [58.9173]
train_epoch: 1040, loss: 0.4809, recall20: 0.0000 recall10: 0.0000 [58.9622]
train_epoch: 1041, loss: 0.4808, recall20: 0.0000 recall10: 0.0000 [59.0052]
train_epoch: 1042, loss: 0.4808, recall20: 0.0000 recall10: 0.0000 [59.0488]
train_epoch: 1043, loss: 0.4807, recall20: 0.0000 recall10: 0.0000 [59.0930]
train_epoch: 1044, loss: 0.4807, recall20: 0.0000 recall10: 0.0000 [59.1362]
train_epoch: 1045, loss: 0.4806, recall20: 0.0000 recall10: 0.0000 [59.1841]
train_epoch: 1046, loss: 0.4806, recall20: 0.0000 recall10: 0.0000 [59.2260]
train_epoch: 1047, loss: 0.4805, recall20: 0.0000 recall10: 0.0000 [59.2660]
train_epoch: 1048, loss: 0.4805, recall20: 0.0000 recall10: 0.0000 [59.3100]
train_epoch: 1049, loss: 0.4805, recall20: 0.0000 recall10: 0.0000 [59.3536]
train_epoch: 1050, loss: 0.4804, recall20: 0.0000 recall10: 0.0000 [59.3968]
train_epoch: 1051, loss: 0.4804, recall20: 0.0000 recall10: 0.0000 [59.4440]
train_epoch: 1052, loss: 0.4803, recall20: 0.0000 recall10: 0.0000 [59.4729]
train_epoch: 1053, loss: 0.4803, recall20: 0.0000 recall10: 0.0000 [59.4906]
train_epoch: 1054, loss: 0.4802, recall20: 0.0000 recall10: 0.0000 [59.5068]
train_epoch: 1055, loss: 0.4802, recall20: 0.0000 recall10: 0.0000 [59.5277]
train_epoch: 1056, loss: 0.4801, recall20: 0.0000 recall10: 0.0000 [59.5828]
train_epoch: 1057, loss: 0.4801, recall20: 0.0000 recall10: 0.0000 [59.6452]
train_epoch: 1058, loss: 0.4800, recall20: 0.0000 recall10: 0.0000 [59.7150]
train_epoch: 1059, loss: 0.4800, recall20: 0.0000 recall10: 0.0000 [59.7850]
train_epoch: 1060, loss: 0.4799, recall20: 0.0000 recall10: 0.0000 [59.8547]
train_epoch: 1061, loss: 0.4799, recall20: 0.0000 recall10: 0.0000 [59.9233]
train_epoch: 1062, loss: 0.4798, recall20: 0.0000 recall10: 0.0000 [59.9937]
train_epoch: 1063, loss: 0.4798, recall20: 0.0000 recall10: 0.0000 [60.0641]
train_epoch: 1064, loss: 0.4797, recall20: 0.0000 recall10: 0.0000 [60.1343]
train_epoch: 1065, loss: 0.4797, recall20: 0.0000 recall10: 0.0000 [60.2040]
train_epoch: 1066, loss: 0.4797, recall20: 0.0000 recall10: 0.0000 [60.2742]
train_epoch: 1067, loss: 0.4796, recall20: 0.0000 recall10: 0.0000 [60.3417]
train_epoch: 1068, loss: 0.4796, recall20: 0.0000 recall10: 0.0000 [60.4119]
train_epoch: 1069, loss: 0.4795, recall20: 0.0000 recall10: 0.0000 [60.4812]
train_epoch: 1070, loss: 0.4795, recall20: 0.0000 recall10: 0.0000 [60.5470]
train_epoch: 1071, loss: 0.4794, recall20: 0.0000 recall10: 0.0000 [60.6172]
train_epoch: 1072, loss: 0.4794, recall20: 0.0000 recall10: 0.0000 [60.6874]
train_epoch: 1073, loss: 0.4793, recall20: 0.0000 recall10: 0.0000 [60.7574]
train_epoch: 1074, loss: 0.4793, recall20: 0.0000 recall10: 0.0000 [60.8272]
train_epoch: 1075, loss: 0.4792, recall20: 0.0000 recall10: 0.0000 [60.8971]
train_epoch: 1076, loss: 0.4792, recall20: 0.0000 recall10: 0.0000 [60.9671]
train_epoch: 1077, loss: 0.4791, recall20: 0.0000 recall10: 0.0000 [61.0367]
train_epoch: 1078, loss: 0.4791, recall20: 0.0000 recall10: 0.0000 [61.1062]
train_epoch: 1079, loss: 0.4790, recall20: 0.0000 recall10: 0.0000 [61.1768]
train_epoch: 1080, loss: 0.4790, recall20: 0.0000 recall10: 0.0000 [61.2468]
train_epoch: 1081, loss: 0.4790, recall20: 0.0000 recall10: 0.0000 [61.3173]
train_epoch: 1082, loss: 0.4789, recall20: 0.0000 recall10: 0.0000 [61.3877]
train_epoch: 1083, loss: 0.4789, recall20: 0.0000 recall10: 0.0000 [61.4573]
train_epoch: 1084, loss: 0.4788, recall20: 0.0000 recall10: 0.0000 [61.5272]
train_epoch: 1085, loss: 0.4788, recall20: 0.0000 recall10: 0.0000 [61.5970]
train_epoch: 1086, loss: 0.4787, recall20: 0.0000 recall10: 0.0000 [61.6663]
train_epoch: 1087, loss: 0.4787, recall20: 0.0000 recall10: 0.0000 [61.7357]
train_epoch: 1088, loss: 0.4786, recall20: 0.0000 recall10: 0.0000 [61.8068]
train_epoch: 1089, loss: 0.4786, recall20: 0.0000 recall10: 0.0000 [61.8773]
train_epoch: 1090, loss: 0.4785, recall20: 0.0000 recall10: 0.0000 [61.9475]
train_epoch: 1091, loss: 0.4785, recall20: 0.0000 recall10: 0.0000 [62.0175]
train_epoch: 1092, loss: 0.4784, recall20: 0.0000 recall10: 0.0000 [62.0876]
train_epoch: 1093, loss: 0.4784, recall20: 0.0000 recall10: 0.0000 [62.1581]
train_epoch: 1094, loss: 0.4784, recall20: 0.0000 recall10: 0.0000 [62.2282]
train_epoch: 1095, loss: 0.4783, recall20: 0.0000 recall10: 0.0000 [62.2991]
train_epoch: 1096, loss: 0.4783, recall20: 0.0000 recall10: 0.0000 [62.3693]
train_epoch: 1097, loss: 0.4782, recall20: 0.0000 recall10: 0.0000 [62.4391]
train_epoch: 1098, loss: 0.4782, recall20: 0.0000 recall10: 0.0000 [62.5096]
train_epoch: 1099, loss: 0.4781, recall20: 0.0000 recall10: 0.0000 [62.5794]
train_epoch: 1100, loss: 0.4781, recall20: 0.0000 recall10: 0.0000 [62.6492]
train_epoch: 1101, loss: 0.4780, recall20: 0.0000 recall10: 0.0000 [62.7186]
train_epoch: 1102, loss: 0.4780, recall20: 0.0000 recall10: 0.0000 [62.7886]
train_epoch: 1103, loss: 0.4779, recall20: 0.0000 recall10: 0.0000 [62.8589]
train_epoch: 1104, loss: 0.4779, recall20: 0.0000 recall10: 0.0000 [62.9293]
train_epoch: 1105, loss: 0.4779, recall20: 0.0000 recall10: 0.0000 [62.9995]
train_epoch: 1106, loss: 0.4778, recall20: 0.0000 recall10: 0.0000 [63.0692]
train_epoch: 1107, loss: 0.4778, recall20: 0.0000 recall10: 0.0000 [63.1392]
train_epoch: 1108, loss: 0.4777, recall20: 0.0000 recall10: 0.0000 [63.2090]
train_epoch: 1109, loss: 0.4777, recall20: 0.0000 recall10: 0.0000 [63.2794]
train_epoch: 1110, loss: 0.4776, recall20: 0.0000 recall10: 0.0000 [63.3491]
train_epoch: 1111, loss: 0.4776, recall20: 0.0000 recall10: 0.0000 [63.4191]
train_epoch: 1112, loss: 0.4775, recall20: 0.0000 recall10: 0.0000 [63.4887]
train_epoch: 1113, loss: 0.4775, recall20: 0.0000 recall10: 0.0000 [63.5590]
train_epoch: 1114, loss: 0.4774, recall20: 0.0000 recall10: 0.0000 [63.6294]
train_epoch: 1115, loss: 0.4774, recall20: 0.0000 recall10: 0.0000 [63.6991]
train_epoch: 1116, loss: 0.4774, recall20: 0.0000 recall10: 0.0000 [63.7690]
train_epoch: 1117, loss: 0.4773, recall20: 0.0000 recall10: 0.0000 [63.8391]
train_epoch: 1118, loss: 0.4773, recall20: 0.0000 recall10: 0.0000 [63.9090]
train_epoch: 1119, loss: 0.4772, recall20: 0.0000 recall10: 0.0000 [63.9789]
train_epoch: 1120, loss: 0.4772, recall20: 0.0000 recall10: 0.0000 [64.0490]
train_epoch: 1121, loss: 0.4771, recall20: 0.0000 recall10: 0.0000 [64.1189]
train_epoch: 1122, loss: 0.4771, recall20: 0.0000 recall10: 0.0000 [64.1891]
train_epoch: 1123, loss: 0.4770, recall20: 0.0000 recall10: 0.0000 [64.2585]
train_epoch: 1124, loss: 0.4770, recall20: 0.0000 recall10: 0.0000 [64.3277]
train_epoch: 1125, loss: 0.4770, recall20: 0.0000 recall10: 0.0000 [64.3978]
train_epoch: 1126, loss: 0.4769, recall20: 0.0000 recall10: 0.0000 [64.4676]
train_epoch: 1127, loss: 0.4769, recall20: 0.0000 recall10: 0.0000 [64.5371]
train_epoch: 1128, loss: 0.4768, recall20: 0.0000 recall10: 0.0000 [64.6069]
train_epoch: 1129, loss: 0.4768, recall20: 0.0000 recall10: 0.0000 [64.6772]
train_epoch: 1130, loss: 0.4767, recall20: 0.0000 recall10: 0.0000 [64.7475]
train_epoch: 1131, loss: 0.4767, recall20: 0.0000 recall10: 0.0000 [64.8182]
train_epoch: 1132, loss: 0.4766, recall20: 0.0000 recall10: 0.0000 [64.8881]
train_epoch: 1133, loss: 0.4766, recall20: 0.0000 recall10: 0.0000 [64.9580]
train_epoch: 1134, loss: 0.4765, recall20: 0.0000 recall10: 0.0000 [65.0276]
train_epoch: 1135, loss: 0.4765, recall20: 0.0000 recall10: 0.0000 [65.0974]
train_epoch: 1136, loss: 0.4765, recall20: 0.0000 recall10: 0.0000 [65.1672]
train_epoch: 1137, loss: 0.4764, recall20: 0.0000 recall10: 0.0000 [65.2376]
train_epoch: 1138, loss: 0.4764, recall20: 0.0000 recall10: 0.0000 [65.3076]
