{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6785, recall20: 0.0000 recall10: 0.0000 [13.4976]
train_epoch: 1002, loss: 0.6785, recall20: 0.0000 recall10: 0.0000 [13.5543]
train_epoch: 1003, loss: 0.6785, recall20: 0.0000 recall10: 0.0000 [13.6095]
train_epoch: 1004, loss: 0.6784, recall20: 0.0000 recall10: 0.0000 [13.6666]
train_epoch: 1005, loss: 0.6784, recall20: 0.0000 recall10: 0.0000 [13.7169]
train_epoch: 1006, loss: 0.6784, recall20: 0.0000 recall10: 0.0000 [13.7733]
train_epoch: 1007, loss: 0.6784, recall20: 0.0000 recall10: 0.0000 [13.8282]
train_epoch: 1008, loss: 0.6783, recall20: 0.0000 recall10: 0.0000 [13.8843]
train_epoch: 1009, loss: 0.6783, recall20: 0.0000 recall10: 0.0000 [13.9359]
train_epoch: 1010, loss: 0.6783, recall20: 0.0000 recall10: 0.0000 [13.9932]
train_epoch: 1011, loss: 0.6783, recall20: 0.0000 recall10: 0.0000 [14.0506]
train_epoch: 1012, loss: 0.6783, recall20: 0.0000 recall10: 0.0000 [14.1068]
train_epoch: 1013, loss: 0.6782, recall20: 0.0000 recall10: 0.0000 [14.1643]
train_epoch: 1014, loss: 0.6782, recall20: 0.0000 recall10: 0.0000 [14.2198]
train_epoch: 1015, loss: 0.6782, recall20: 0.0000 recall10: 0.0000 [14.2774]
train_epoch: 1016, loss: 0.6782, recall20: 0.0000 recall10: 0.0000 [14.3342]
train_epoch: 1017, loss: 0.6781, recall20: 0.0000 recall10: 0.0000 [14.3908]
train_epoch: 1018, loss: 0.6781, recall20: 0.0000 recall10: 0.0000 [14.4482]
train_epoch: 1019, loss: 0.6781, recall20: 0.0000 recall10: 0.0000 [14.5048]
train_epoch: 1020, loss: 0.6781, recall20: 0.0000 recall10: 0.0000 [14.5605]
train_epoch: 1021, loss: 0.6780, recall20: 0.0000 recall10: 0.0000 [14.6149]
train_epoch: 1022, loss: 0.6780, recall20: 0.0000 recall10: 0.0000 [14.6702]
train_epoch: 1023, loss: 0.6780, recall20: 0.0000 recall10: 0.0000 [14.7273]
train_epoch: 1024, loss: 0.6780, recall20: 0.0000 recall10: 0.0000 [14.7831]
train_epoch: 1025, loss: 0.6780, recall20: 0.0000 recall10: 0.0000 [14.8401]
train_epoch: 1026, loss: 0.6779, recall20: 0.0000 recall10: 0.0000 [14.8956]
train_epoch: 1027, loss: 0.6779, recall20: 0.0000 recall10: 0.0000 [14.9515]
train_epoch: 1028, loss: 0.6779, recall20: 0.0000 recall10: 0.0000 [15.0057]
train_epoch: 1029, loss: 0.6779, recall20: 0.0000 recall10: 0.0000 [15.0582]
train_epoch: 1030, loss: 0.6778, recall20: 0.0000 recall10: 0.0000 [15.1142]
train_epoch: 1031, loss: 0.6778, recall20: 0.0000 recall10: 0.0000 [15.1725]
train_epoch: 1032, loss: 0.6778, recall20: 0.0000 recall10: 0.0000 [15.2297]
train_epoch: 1033, loss: 0.6778, recall20: 0.0000 recall10: 0.0000 [15.2856]
train_epoch: 1034, loss: 0.6777, recall20: 0.0000 recall10: 0.0000 [15.3435]
train_epoch: 1035, loss: 0.6777, recall20: 0.0000 recall10: 0.0000 [15.3980]
train_epoch: 1036, loss: 0.6777, recall20: 0.0000 recall10: 0.0000 [15.4546]
train_epoch: 1037, loss: 0.6777, recall20: 0.0000 recall10: 0.0000 [15.5091]
train_epoch: 1038, loss: 0.6776, recall20: 0.0000 recall10: 0.0000 [15.5672]
train_epoch: 1039, loss: 0.6776, recall20: 0.0000 recall10: 0.0000 [15.6271]
train_epoch: 1040, loss: 0.6776, recall20: 0.0000 recall10: 0.0000 [15.6823]
train_epoch: 1041, loss: 0.6776, recall20: 0.0000 recall10: 0.0000 [15.7376]
train_epoch: 1042, loss: 0.6776, recall20: 0.0000 recall10: 0.0000 [15.7944]
train_epoch: 1043, loss: 0.6775, recall20: 0.0000 recall10: 0.0000 [15.8499]
train_epoch: 1044, loss: 0.6775, recall20: 0.0000 recall10: 0.0000 [15.9071]
train_epoch: 1045, loss: 0.6775, recall20: 0.0000 recall10: 0.0000 [15.9631]
train_epoch: 1046, loss: 0.6775, recall20: 0.0000 recall10: 0.0000 [16.0199]
train_epoch: 1047, loss: 0.6774, recall20: 0.0000 recall10: 0.0000 [16.0729]
train_epoch: 1048, loss: 0.6774, recall20: 0.0000 recall10: 0.0000 [16.1275]
train_epoch: 1049, loss: 0.6774, recall20: 0.0000 recall10: 0.0000 [16.1825]
train_epoch: 1050, loss: 0.6774, recall20: 0.0000 recall10: 0.0000 [16.2402]
train_epoch: 1051, loss: 0.6773, recall20: 0.0000 recall10: 0.0000 [16.2962]
train_epoch: 1052, loss: 0.6773, recall20: 0.0000 recall10: 0.0000 [16.3497]
train_epoch: 1053, loss: 0.6773, recall20: 0.0000 recall10: 0.0000 [16.4032]
train_epoch: 1054, loss: 0.6773, recall20: 0.0000 recall10: 0.0000 [16.4603]
train_epoch: 1055, loss: 0.6772, recall20: 0.0000 recall10: 0.0000 [16.5152]
train_epoch: 1056, loss: 0.6772, recall20: 0.0000 recall10: 0.0000 [16.5722]
train_epoch: 1057, loss: 0.6772, recall20: 0.0000 recall10: 0.0000 [16.6291]
train_epoch: 1058, loss: 0.6772, recall20: 0.0000 recall10: 0.0000 [16.6840]
train_epoch: 1059, loss: 0.6772, recall20: 0.0000 recall10: 0.0000 [16.7406]
train_epoch: 1060, loss: 0.6771, recall20: 0.0000 recall10: 0.0000 [16.7952]
train_epoch: 1061, loss: 0.6771, recall20: 0.0000 recall10: 0.0000 [16.8479]
train_epoch: 1062, loss: 0.6771, recall20: 0.0000 recall10: 0.0000 [16.9025]
train_epoch: 1063, loss: 0.6771, recall20: 0.0000 recall10: 0.0000 [16.9585]
train_epoch: 1064, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [17.0153]
train_epoch: 1065, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [17.0659]
train_epoch: 1066, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [17.1226]
train_epoch: 1067, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [17.1766]
train_epoch: 1068, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [17.2314]
train_epoch: 1069, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [17.2872]
train_epoch: 1070, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [17.3388]
train_epoch: 1071, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [17.3946]
train_epoch: 1072, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [17.4499]
train_epoch: 1073, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [17.5075]
train_epoch: 1074, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [17.5629]
train_epoch: 1075, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [17.6181]
train_epoch: 1076, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [17.6744]
train_epoch: 1077, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [17.7297]
train_epoch: 1078, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [17.7875]
train_epoch: 1079, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [17.8440]
train_epoch: 1080, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [17.9012]
train_epoch: 1081, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [17.9587]
train_epoch: 1082, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [18.0136]
train_epoch: 1083, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [18.0723]
train_epoch: 1084, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [18.1292]
train_epoch: 1085, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [18.1839]
train_epoch: 1086, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [18.2416]
train_epoch: 1087, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [18.2970]
train_epoch: 1088, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [18.3533]
train_epoch: 1089, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [18.4094]
train_epoch: 1090, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [18.4652]
train_epoch: 1091, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [18.5216]
train_epoch: 1092, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [18.5774]
train_epoch: 1093, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [18.6332]
train_epoch: 1094, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [18.6898]
train_epoch: 1095, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [18.7455]
train_epoch: 1096, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [18.8003]
train_epoch: 1097, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [18.8558]
train_epoch: 1098, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [18.9120]
train_epoch: 1099, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [18.9697]
train_epoch: 1100, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [19.0236]
train_epoch: 1101, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [19.0795]
train_epoch: 1102, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [19.1367]
train_epoch: 1103, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [19.1928]
train_epoch: 1104, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [19.2486]
train_epoch: 1105, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [19.3034]
train_epoch: 1106, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [19.3607]
train_epoch: 1107, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [19.4152]
train_epoch: 1108, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [19.4714]
