{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.4458, recall20: 0.0000 recall10: 0.0000 [8.5545]
train_epoch: 1002, loss: 0.4458, recall20: 0.0000 recall10: 0.0000 [8.5689]
train_epoch: 1003, loss: 0.4457, recall20: 0.0000 recall10: 0.0000 [8.5789]
train_epoch: 1004, loss: 0.4457, recall20: 0.0000 recall10: 0.0000 [8.5881]
train_epoch: 1005, loss: 0.4456, recall20: 0.0000 recall10: 0.0000 [8.5985]
train_epoch: 1006, loss: 0.4456, recall20: 0.0000 recall10: 0.0000 [8.6076]
train_epoch: 1007, loss: 0.4456, recall20: 0.0000 recall10: 0.0000 [8.6166]
train_epoch: 1008, loss: 0.4455, recall20: 0.0000 recall10: 0.0000 [8.6265]
train_epoch: 1009, loss: 0.4455, recall20: 0.0000 recall10: 0.0000 [8.6363]
train_epoch: 1010, loss: 0.4454, recall20: 0.0000 recall10: 0.0000 [8.6466]
train_epoch: 1011, loss: 0.4454, recall20: 0.0000 recall10: 0.0000 [8.6560]
train_epoch: 1012, loss: 0.4453, recall20: 0.0000 recall10: 0.0000 [8.6655]
train_epoch: 1013, loss: 0.4453, recall20: 0.0000 recall10: 0.0000 [8.6750]
train_epoch: 1014, loss: 0.4452, recall20: 0.0000 recall10: 0.0000 [8.6847]
train_epoch: 1015, loss: 0.4452, recall20: 0.0000 recall10: 0.0000 [8.6948]
train_epoch: 1016, loss: 0.4452, recall20: 0.0000 recall10: 0.0000 [8.7041]
train_epoch: 1017, loss: 0.4451, recall20: 0.0000 recall10: 0.0000 [8.7147]
train_epoch: 1018, loss: 0.4451, recall20: 0.0000 recall10: 0.0000 [8.7247]
train_epoch: 1019, loss: 0.4450, recall20: 0.0000 recall10: 0.0000 [8.7353]
train_epoch: 1020, loss: 0.4450, recall20: 0.0000 recall10: 0.0000 [8.7451]
train_epoch: 1021, loss: 0.4449, recall20: 0.0000 recall10: 0.0000 [8.7550]
train_epoch: 1022, loss: 0.4449, recall20: 0.0000 recall10: 0.0000 [8.7648]
train_epoch: 1023, loss: 0.4448, recall20: 0.0000 recall10: 0.0000 [8.7746]
train_epoch: 1024, loss: 0.4448, recall20: 0.0000 recall10: 0.0000 [8.7839]
train_epoch: 1025, loss: 0.4447, recall20: 0.0000 recall10: 0.0000 [8.7948]
train_epoch: 1026, loss: 0.4447, recall20: 0.0000 recall10: 0.0000 [8.8052]
train_epoch: 1027, loss: 0.4447, recall20: 0.0000 recall10: 0.0000 [8.8148]
train_epoch: 1028, loss: 0.4446, recall20: 0.0000 recall10: 0.0000 [8.8242]
train_epoch: 1029, loss: 0.4446, recall20: 0.0000 recall10: 0.0000 [8.8337]
train_epoch: 1030, loss: 0.4445, recall20: 0.0000 recall10: 0.0000 [8.8427]
train_epoch: 1031, loss: 0.4445, recall20: 0.0000 recall10: 0.0000 [8.8530]
