{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [89.6688]
train_epoch: 1002, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [89.7514]
train_epoch: 1003, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [89.8307]
train_epoch: 1004, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [89.9097]
train_epoch: 1005, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [89.9889]
train_epoch: 1006, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.0684]
train_epoch: 1007, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.1478]
train_epoch: 1008, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.2267]
train_epoch: 1009, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.3050]
train_epoch: 1010, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.3842]
train_epoch: 1011, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.4625]
train_epoch: 1012, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.5418]
train_epoch: 1013, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.6210]
train_epoch: 1014, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.6998]
train_epoch: 1015, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.7796]
train_epoch: 1016, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.8582]
train_epoch: 1017, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [90.9373]
train_epoch: 1018, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.0160]
train_epoch: 1019, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.0911]
train_epoch: 1020, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.1692]
train_epoch: 1021, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.2482]
train_epoch: 1022, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.3263]
train_epoch: 1023, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.4050]
train_epoch: 1024, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.4823]
train_epoch: 1025, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.5610]
train_epoch: 1026, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.6372]
train_epoch: 1027, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.7158]
train_epoch: 1028, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.7946]
train_epoch: 1029, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.8718]
train_epoch: 1030, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [91.9502]
train_epoch: 1031, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.0300]
train_epoch: 1032, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.1070]
train_epoch: 1033, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.1859]
train_epoch: 1034, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.2632]
train_epoch: 1035, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.3418]
train_epoch: 1036, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.4200]
train_epoch: 1037, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.4995]
train_epoch: 1038, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.5788]
train_epoch: 1039, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.6567]
train_epoch: 1040, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.7351]
train_epoch: 1041, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.8148]
train_epoch: 1042, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.8930]
train_epoch: 1043, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [92.9705]
train_epoch: 1044, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [93.0499]
train_epoch: 1045, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [93.1286]
train_epoch: 1046, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [93.2079]
train_epoch: 1047, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [93.2870]
train_epoch: 1048, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [93.3659]
train_epoch: 1049, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [93.4450]
train_epoch: 1050, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [93.5243]
train_epoch: 1051, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [93.6021]
train_epoch: 1052, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [93.6814]
train_epoch: 1053, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [93.7611]
train_epoch: 1054, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [93.8405]
train_epoch: 1055, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [93.9187]
train_epoch: 1056, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [93.9947]
train_epoch: 1057, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [94.0730]
train_epoch: 1058, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [94.1533]
train_epoch: 1059, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [94.2317]
train_epoch: 1060, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [94.3111]
train_epoch: 1061, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [94.3894]
