{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [64.9301]
train_epoch: 1002, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [65.0104]
train_epoch: 1003, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [65.0814]
train_epoch: 1004, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [65.1568]
train_epoch: 1005, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [65.2256]
train_epoch: 1006, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [65.3003]
train_epoch: 1007, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [65.3754]
train_epoch: 1008, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [65.4481]
train_epoch: 1009, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [65.5242]
train_epoch: 1010, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [65.5983]
train_epoch: 1011, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [65.6701]
train_epoch: 1012, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [65.7421]
train_epoch: 1013, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [65.8159]
train_epoch: 1014, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [65.8895]
train_epoch: 1015, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [65.9627]
train_epoch: 1016, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [66.0377]
train_epoch: 1017, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [66.1131]
train_epoch: 1018, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [66.1895]
train_epoch: 1019, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [66.2658]
train_epoch: 1020, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [66.3393]
train_epoch: 1021, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [66.4142]
train_epoch: 1022, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [66.4901]
train_epoch: 1023, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [66.5644]
train_epoch: 1024, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [66.6396]
train_epoch: 1025, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [66.7155]
train_epoch: 1026, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [66.7858]
train_epoch: 1027, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [66.8604]
train_epoch: 1028, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [66.9360]
train_epoch: 1029, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [67.0096]
train_epoch: 1030, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [67.0854]
train_epoch: 1031, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [67.1602]
train_epoch: 1032, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [67.2362]
train_epoch: 1033, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [67.3117]
train_epoch: 1034, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [67.3773]
train_epoch: 1035, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [67.4507]
train_epoch: 1036, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [67.5115]
train_epoch: 1037, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [67.5856]
train_epoch: 1038, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [67.6606]
train_epoch: 1039, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [67.7360]
train_epoch: 1040, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [67.8063]
train_epoch: 1041, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [67.8831]
train_epoch: 1042, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [67.9582]
train_epoch: 1043, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [68.0323]
train_epoch: 1044, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [68.1089]
train_epoch: 1045, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [68.1768]
train_epoch: 1046, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [68.2523]
train_epoch: 1047, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [68.3295]
train_epoch: 1048, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [68.3985]
train_epoch: 1049, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [68.4733]
train_epoch: 1050, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [68.5451]
train_epoch: 1051, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [68.6161]
train_epoch: 1052, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [68.6916]
train_epoch: 1053, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [68.7654]
train_epoch: 1054, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [68.8409]
train_epoch: 1055, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [68.9182]
train_epoch: 1056, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [68.9909]
train_epoch: 1057, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [69.0659]
train_epoch: 1058, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [69.1411]
train_epoch: 1059, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [69.2119]
train_epoch: 1060, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [69.2893]
train_epoch: 1061, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [69.3561]
train_epoch: 1062, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [69.4317]
train_epoch: 1063, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [69.5071]
