{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 0.0182, recall20: 0.0000 recall10: 0.0000 [45.1577]
train_epoch: 1002, loss: 0.0182, recall20: 0.0000 recall10: 0.0000 [45.2102]
train_epoch: 1003, loss: 0.0182, recall20: 0.0000 recall10: 0.0000 [45.2599]
train_epoch: 1004, loss: 0.0181, recall20: 0.0000 recall10: 0.0000 [45.3114]
train_epoch: 1005, loss: 0.0181, recall20: 0.0000 recall10: 0.0000 [45.3587]
train_epoch: 1006, loss: 0.0180, recall20: 0.0000 recall10: 0.0000 [45.4077]
train_epoch: 1007, loss: 0.0180, recall20: 0.0000 recall10: 0.0000 [45.4576]
train_epoch: 1008, loss: 0.0180, recall20: 0.0000 recall10: 0.0000 [45.5076]
train_epoch: 1009, loss: 0.0179, recall20: 0.0000 recall10: 0.0000 [45.5565]
train_epoch: 1010, loss: 0.0179, recall20: 0.0000 recall10: 0.0000 [45.6045]
train_epoch: 1011, loss: 0.0179, recall20: 0.0000 recall10: 0.0000 [45.6531]
train_epoch: 1012, loss: 0.0178, recall20: 0.0000 recall10: 0.0000 [45.7014]
train_epoch: 1013, loss: 0.0178, recall20: 0.0000 recall10: 0.0000 [45.7508]
train_epoch: 1014, loss: 0.0177, recall20: 0.0000 recall10: 0.0000 [45.8003]
train_epoch: 1015, loss: 0.0177, recall20: 0.0000 recall10: 0.0000 [45.8518]
train_epoch: 1016, loss: 0.0177, recall20: 0.0000 recall10: 0.0000 [45.9005]
train_epoch: 1017, loss: 0.0176, recall20: 0.0000 recall10: 0.0000 [45.9491]
train_epoch: 1018, loss: 0.0176, recall20: 0.0000 recall10: 0.0000 [45.9965]
train_epoch: 1019, loss: 0.0175, recall20: 0.0000 recall10: 0.0000 [46.0444]
train_epoch: 1020, loss: 0.0175, recall20: 0.0000 recall10: 0.0000 [46.0945]
train_epoch: 1021, loss: 0.0175, recall20: 0.0000 recall10: 0.0000 [46.1454]
train_epoch: 1022, loss: 0.0174, recall20: 0.0000 recall10: 0.0000 [46.1957]
train_epoch: 1023, loss: 0.0174, recall20: 0.0000 recall10: 0.0000 [46.2464]
train_epoch: 1024, loss: 0.0174, recall20: 0.0000 recall10: 0.0000 [46.2946]
train_epoch: 1025, loss: 0.0173, recall20: 0.0000 recall10: 0.0000 [46.3456]
train_epoch: 1026, loss: 0.0173, recall20: 0.0000 recall10: 0.0000 [46.3964]
train_epoch: 1027, loss: 0.0172, recall20: 0.0000 recall10: 0.0000 [46.4471]
train_epoch: 1028, loss: 0.0172, recall20: 0.0000 recall10: 0.0000 [46.4963]
train_epoch: 1029, loss: 0.0172, recall20: 0.0000 recall10: 0.0000 [46.5470]
