{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [8.9380]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [8.9520]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [8.9630]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [8.9726]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [8.9822]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [8.9919]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0022]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0121]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0216]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0322]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0425]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0527]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0626]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0735]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0836]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.0935]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.1033]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.1135]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.1240]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.1374]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.1476]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.1592]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.1691]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.1786]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.1889]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2002]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2099]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2195]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2305]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2418]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2511]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2602]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2701]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2827]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.2926]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.3022]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [9.3133]
