{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6804, recall20: 0.0000 recall10: 0.0000 [35.1110]
train_epoch: 1002, loss: 0.6804, recall20: 0.0000 recall10: 0.0000 [35.1507]
train_epoch: 1003, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [35.1716]
train_epoch: 1004, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [35.2014]
train_epoch: 1005, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [35.2339]
train_epoch: 1006, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [35.2641]
train_epoch: 1007, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [35.2967]
train_epoch: 1008, loss: 0.6802, recall20: 0.0000 recall10: 0.0000 [35.3274]
train_epoch: 1009, loss: 0.6802, recall20: 0.0000 recall10: 0.0000 [35.3584]
train_epoch: 1010, loss: 0.6802, recall20: 0.0000 recall10: 0.0000 [35.3910]
train_epoch: 1011, loss: 0.6802, recall20: 0.0000 recall10: 0.0000 [35.4223]
train_epoch: 1012, loss: 0.6802, recall20: 0.0000 recall10: 0.0000 [35.4545]
train_epoch: 1013, loss: 0.6801, recall20: 0.0000 recall10: 0.0000 [35.4885]
train_epoch: 1014, loss: 0.6801, recall20: 0.0000 recall10: 0.0000 [35.5231]
train_epoch: 1015, loss: 0.6801, recall20: 0.0000 recall10: 0.0000 [35.5511]
train_epoch: 1016, loss: 0.6801, recall20: 0.0000 recall10: 0.0000 [35.5771]
train_epoch: 1017, loss: 0.6800, recall20: 0.0000 recall10: 0.0000 [35.6073]
train_epoch: 1018, loss: 0.6800, recall20: 0.0000 recall10: 0.0000 [35.6427]
train_epoch: 1019, loss: 0.6800, recall20: 0.0000 recall10: 0.0000 [35.6696]
train_epoch: 1020, loss: 0.6800, recall20: 0.0000 recall10: 0.0000 [35.7091]
train_epoch: 1021, loss: 0.6800, recall20: 0.0000 recall10: 0.0000 [35.7362]
train_epoch: 1022, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [35.7660]
train_epoch: 1023, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [35.7902]
train_epoch: 1024, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [35.8197]
train_epoch: 1025, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [35.8453]
train_epoch: 1026, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [35.8754]
train_epoch: 1027, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [35.9142]
train_epoch: 1028, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [35.9427]
train_epoch: 1029, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [35.9777]
train_epoch: 1030, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [36.0129]
train_epoch: 1031, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [36.0282]
train_epoch: 1032, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [36.0624]
train_epoch: 1033, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [36.0893]
train_epoch: 1034, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [36.1208]
train_epoch: 1035, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [36.1599]
train_epoch: 1036, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [36.1910]
train_epoch: 1037, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [36.2200]
train_epoch: 1038, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [36.2437]
train_epoch: 1039, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [36.2748]
train_epoch: 1040, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [36.3054]
train_epoch: 1041, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [36.3311]
train_epoch: 1042, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [36.3690]
train_epoch: 1043, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [36.3993]
train_epoch: 1044, loss: 0.6794, recall20: 0.0000 recall10: 0.0000 [36.4357]
