{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.1568]
train_epoch: 1002, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.1742]
train_epoch: 1003, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.1852]
train_epoch: 1004, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.1961]
train_epoch: 1005, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.2074]
train_epoch: 1006, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.2198]
train_epoch: 1007, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.2316]
train_epoch: 1008, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.2433]
train_epoch: 1009, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.2549]
train_epoch: 1010, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.2667]
train_epoch: 1011, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.2774]
train_epoch: 1012, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.2878]
train_epoch: 1013, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.2985]
train_epoch: 1014, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.3094]
train_epoch: 1015, loss: 0.0015, recall20: 0.0000 recall10: 0.0000 [9.3203]
train_epoch: 1016, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.3308]
train_epoch: 1017, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.3432]
train_epoch: 1018, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.3558]
train_epoch: 1019, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.3686]
train_epoch: 1020, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.3813]
train_epoch: 1021, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.3920]
train_epoch: 1022, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4020]
train_epoch: 1023, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4117]
train_epoch: 1024, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4214]
train_epoch: 1025, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4336]
train_epoch: 1026, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4440]
train_epoch: 1027, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4538]
train_epoch: 1028, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4635]
train_epoch: 1029, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4736]
train_epoch: 1030, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4838]
train_epoch: 1031, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.4946]
train_epoch: 1032, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.5047]
train_epoch: 1033, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.5149]
train_epoch: 1034, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.5246]
train_epoch: 1035, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.5346]
train_epoch: 1036, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.5449]
train_epoch: 1037, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.5554]
train_epoch: 1038, loss: 0.0014, recall20: 0.0000 recall10: 0.0000 [9.5656]
train_epoch: 1039, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.5789]
train_epoch: 1040, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.5912]
train_epoch: 1041, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6015]
train_epoch: 1042, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6119]
train_epoch: 1043, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6226]
train_epoch: 1044, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6325]
train_epoch: 1045, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6419]
train_epoch: 1046, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6523]
train_epoch: 1047, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6626]
train_epoch: 1048, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6718]
train_epoch: 1049, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6812]
train_epoch: 1050, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.6914]
train_epoch: 1051, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.7018]
train_epoch: 1052, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.7116]
train_epoch: 1053, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.7214]
train_epoch: 1054, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.7308]
train_epoch: 1055, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.7408]
train_epoch: 1056, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.7501]
train_epoch: 1057, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.7603]
train_epoch: 1058, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.7711]
train_epoch: 1059, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.7871]
train_epoch: 1060, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.8005]
train_epoch: 1061, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.8108]
train_epoch: 1062, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.8205]
train_epoch: 1063, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.8302]
train_epoch: 1064, loss: 0.0013, recall20: 0.0000 recall10: 0.0000 [9.8398]
train_epoch: 1065, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.8501]
train_epoch: 1066, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.8613]
train_epoch: 1067, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.8719]
train_epoch: 1068, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.8819]
train_epoch: 1069, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.8929]
train_epoch: 1070, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.9034]
train_epoch: 1071, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.9145]
train_epoch: 1072, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.9253]
train_epoch: 1073, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.9364]
train_epoch: 1074, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.9474]
train_epoch: 1075, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.9567]
train_epoch: 1076, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.9667]
train_epoch: 1077, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.9777]
train_epoch: 1078, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [9.9888]
train_epoch: 1079, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [10.0023]
train_epoch: 1080, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [10.0151]
train_epoch: 1081, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [10.0253]
train_epoch: 1082, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [10.0355]
train_epoch: 1083, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [10.0449]
train_epoch: 1084, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [10.0552]
train_epoch: 1085, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [10.0658]
train_epoch: 1086, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [10.0767]
