{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.6600]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.7099]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.7590]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.8075]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.8551]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.9001]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.9464]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.9945]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.0413]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.0886]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.1349]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.1803]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.2289]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.2777]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.3268]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.3777]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.4282]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.4790]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.5269]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.5771]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.6260]
