{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.6776]
train_epoch: 1002, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.6917]
train_epoch: 1003, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7002]
train_epoch: 1004, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7086]
train_epoch: 1005, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7170]
train_epoch: 1006, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7253]
train_epoch: 1007, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7338]
train_epoch: 1008, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7428]
train_epoch: 1009, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7514]
train_epoch: 1010, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7600]
train_epoch: 1011, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7683]
train_epoch: 1012, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7765]
train_epoch: 1013, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7865]
train_epoch: 1014, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.7956]
train_epoch: 1015, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.8052]
train_epoch: 1016, loss: 0.6909, recall20: 0.0000 recall10: 0.0000 [7.8147]
train_epoch: 1017, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.8233]
train_epoch: 1018, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.8333]
train_epoch: 1019, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.8437]
train_epoch: 1020, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.8542]
train_epoch: 1021, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.8646]
train_epoch: 1022, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.8744]
train_epoch: 1023, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.8838]
train_epoch: 1024, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.8943]
train_epoch: 1025, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9036]
train_epoch: 1026, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9127]
train_epoch: 1027, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9220]
train_epoch: 1028, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9307]
train_epoch: 1029, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9396]
train_epoch: 1030, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9492]
train_epoch: 1031, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9585]
train_epoch: 1032, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9685]
train_epoch: 1033, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9789]
train_epoch: 1034, loss: 0.6908, recall20: 0.0000 recall10: 0.0000 [7.9892]
