{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.6725, recall20: 0.0000 recall10: 0.0000 [61.7671]
train_epoch: 1002, loss: 0.6725, recall20: 0.0000 recall10: 0.0000 [61.8689]
train_epoch: 1003, loss: 0.6725, recall20: 0.0000 recall10: 0.0000 [61.9391]
train_epoch: 1004, loss: 0.6724, recall20: 0.0000 recall10: 0.0000 [62.0097]
train_epoch: 1005, loss: 0.6724, recall20: 0.0000 recall10: 0.0000 [62.0803]
train_epoch: 1006, loss: 0.6724, recall20: 0.0000 recall10: 0.0000 [62.1512]
train_epoch: 1007, loss: 0.6723, recall20: 0.0000 recall10: 0.0000 [62.2218]
train_epoch: 1008, loss: 0.6723, recall20: 0.0000 recall10: 0.0000 [62.2919]
train_epoch: 1009, loss: 0.6722, recall20: 0.0000 recall10: 0.0000 [62.3636]
train_epoch: 1010, loss: 0.6722, recall20: 0.0000 recall10: 0.0000 [62.4356]
train_epoch: 1011, loss: 0.6722, recall20: 0.0000 recall10: 0.0000 [62.5068]
train_epoch: 1012, loss: 0.6721, recall20: 0.0000 recall10: 0.0000 [62.5776]
train_epoch: 1013, loss: 0.6721, recall20: 0.0000 recall10: 0.0000 [62.6487]
train_epoch: 1014, loss: 0.6720, recall20: 0.0000 recall10: 0.0000 [62.7193]
train_epoch: 1015, loss: 0.6720, recall20: 0.0000 recall10: 0.0000 [62.7903]
train_epoch: 1016, loss: 0.6720, recall20: 0.0000 recall10: 0.0000 [62.8618]
train_epoch: 1017, loss: 0.6719, recall20: 0.0000 recall10: 0.0000 [62.9273]
train_epoch: 1018, loss: 0.6719, recall20: 0.0000 recall10: 0.0000 [62.9981]
train_epoch: 1019, loss: 0.6719, recall20: 0.0000 recall10: 0.0000 [63.0680]
train_epoch: 1020, loss: 0.6718, recall20: 0.0000 recall10: 0.0000 [63.1383]
train_epoch: 1021, loss: 0.6718, recall20: 0.0000 recall10: 0.0000 [63.2083]
train_epoch: 1022, loss: 0.6717, recall20: 0.0000 recall10: 0.0000 [63.2794]
train_epoch: 1023, loss: 0.6717, recall20: 0.0000 recall10: 0.0000 [63.3504]
train_epoch: 1024, loss: 0.6717, recall20: 0.0000 recall10: 0.0000 [63.4212]
train_epoch: 1025, loss: 0.6716, recall20: 0.0000 recall10: 0.0000 [63.4919]
train_epoch: 1026, loss: 0.6716, recall20: 0.0000 recall10: 0.0000 [63.5629]
train_epoch: 1027, loss: 0.6716, recall20: 0.0000 recall10: 0.0000 [63.6321]
train_epoch: 1028, loss: 0.6715, recall20: 0.0000 recall10: 0.0000 [63.7023]
train_epoch: 1029, loss: 0.6715, recall20: 0.0000 recall10: 0.0000 [63.7722]
train_epoch: 1030, loss: 0.6714, recall20: 0.0000 recall10: 0.0000 [63.8432]
train_epoch: 1031, loss: 0.6714, recall20: 0.0000 recall10: 0.0000 [63.9146]
train_epoch: 1032, loss: 0.6714, recall20: 0.0000 recall10: 0.0000 [63.9850]
train_epoch: 1033, loss: 0.6713, recall20: 0.0000 recall10: 0.0000 [64.0542]
train_epoch: 1034, loss: 0.6713, recall20: 0.0000 recall10: 0.0000 [64.1244]
train_epoch: 1035, loss: 0.6713, recall20: 0.0000 recall10: 0.0000 [64.1956]
train_epoch: 1036, loss: 0.6712, recall20: 0.0000 recall10: 0.0000 [64.2663]
train_epoch: 1037, loss: 0.6712, recall20: 0.0000 recall10: 0.0000 [64.3366]
train_epoch: 1038, loss: 0.6711, recall20: 0.0000 recall10: 0.0000 [64.4057]
train_epoch: 1039, loss: 0.6711, recall20: 0.0000 recall10: 0.0000 [64.4762]
train_epoch: 1040, loss: 0.6711, recall20: 0.0000 recall10: 0.0000 [64.5475]
train_epoch: 1041, loss: 0.6710, recall20: 0.0000 recall10: 0.0000 [64.6178]
train_epoch: 1042, loss: 0.6710, recall20: 0.0000 recall10: 0.0000 [64.6877]
train_epoch: 1043, loss: 0.6710, recall20: 0.0000 recall10: 0.0000 [64.7582]
train_epoch: 1044, loss: 0.6709, recall20: 0.0000 recall10: 0.0000 [64.8284]
train_epoch: 1045, loss: 0.6709, recall20: 0.0000 recall10: 0.0000 [64.8983]
train_epoch: 1046, loss: 0.6708, recall20: 0.0000 recall10: 0.0000 [64.9690]
train_epoch: 1047, loss: 0.6708, recall20: 0.0000 recall10: 0.0000 [65.0401]
train_epoch: 1048, loss: 0.6708, recall20: 0.0000 recall10: 0.0000 [65.1118]
train_epoch: 1049, loss: 0.6707, recall20: 0.0000 recall10: 0.0000 [65.1823]
train_epoch: 1050, loss: 0.6707, recall20: 0.0000 recall10: 0.0000 [65.2528]
train_epoch: 1051, loss: 0.6707, recall20: 0.0000 recall10: 0.0000 [65.3231]
train_epoch: 1052, loss: 0.6706, recall20: 0.0000 recall10: 0.0000 [65.3929]
train_epoch: 1053, loss: 0.6706, recall20: 0.0000 recall10: 0.0000 [65.4263]
train_epoch: 1054, loss: 0.6706, recall20: 0.0000 recall10: 0.0000 [65.4559]
