{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [73.9318]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.0499]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.1653]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.2810]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.3965]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.5125]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.6274]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.7424]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.8574]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.9731]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.0884]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.2040]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.3198]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.4354]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.5505]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.6659]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.7808]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.8961]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.0111]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.1265]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.2414]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.3566]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.4714]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.5868]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.7026]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.8182]
