{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [9.1566]
train_epoch: 1002, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [9.1711]
train_epoch: 1003, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [9.1828]
train_epoch: 1004, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [9.1951]
train_epoch: 1005, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [9.2067]
train_epoch: 1006, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [9.2173]
train_epoch: 1007, loss: 0.6770, recall20: 0.0000 recall10: 0.0000 [9.2278]
train_epoch: 1008, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [9.2380]
train_epoch: 1009, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [9.2483]
train_epoch: 1010, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [9.2599]
train_epoch: 1011, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [9.2708]
train_epoch: 1012, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [9.2831]
train_epoch: 1013, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [9.2947]
train_epoch: 1014, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [9.3074]
train_epoch: 1015, loss: 0.6769, recall20: 0.0000 recall10: 0.0000 [9.3185]
train_epoch: 1016, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [9.3312]
train_epoch: 1017, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [9.3422]
train_epoch: 1018, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [9.3533]
train_epoch: 1019, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [9.3653]
train_epoch: 1020, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [9.3775]
train_epoch: 1021, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [9.3905]
train_epoch: 1022, loss: 0.6768, recall20: 0.0000 recall10: 0.0000 [9.4019]
train_epoch: 1023, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [9.4127]
train_epoch: 1024, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [9.4233]
train_epoch: 1025, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [9.4341]
train_epoch: 1026, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [9.4462]
train_epoch: 1027, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [9.4566]
train_epoch: 1028, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [9.4713]
train_epoch: 1029, loss: 0.6767, recall20: 0.0000 recall10: 0.0000 [9.4827]
train_epoch: 1030, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [9.4932]
train_epoch: 1031, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [9.5041]
train_epoch: 1032, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [9.5147]
train_epoch: 1033, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [9.5278]
train_epoch: 1034, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [9.5408]
train_epoch: 1035, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [9.5524]
train_epoch: 1036, loss: 0.6766, recall20: 0.0000 recall10: 0.0000 [9.5641]
train_epoch: 1037, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [9.5757]
train_epoch: 1038, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [9.5866]
train_epoch: 1039, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [9.6029]
train_epoch: 1040, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [9.6147]
train_epoch: 1041, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [9.6266]
train_epoch: 1042, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [9.6430]
train_epoch: 1043, loss: 0.6765, recall20: 0.0000 recall10: 0.0000 [9.6544]
train_epoch: 1044, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [9.6654]
train_epoch: 1045, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [9.6768]
train_epoch: 1046, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [9.6872]
train_epoch: 1047, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [9.6992]
train_epoch: 1048, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [9.7109]
train_epoch: 1049, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [9.7219]
train_epoch: 1050, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [9.7323]
train_epoch: 1051, loss: 0.6764, recall20: 0.0000 recall10: 0.0000 [9.7441]
train_epoch: 1052, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [9.7555]
train_epoch: 1053, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [9.7669]
train_epoch: 1054, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [9.7822]
train_epoch: 1055, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [9.7959]
train_epoch: 1056, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [9.8066]
train_epoch: 1057, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [9.8181]
train_epoch: 1058, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [9.8289]
train_epoch: 1059, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [9.8439]
train_epoch: 1060, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [9.8544]
train_epoch: 1061, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [9.8653]
train_epoch: 1062, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [9.8755]
train_epoch: 1063, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [9.8851]
train_epoch: 1064, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [9.8955]
train_epoch: 1065, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [9.9058]
train_epoch: 1066, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [9.9154]
train_epoch: 1067, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [9.9256]
train_epoch: 1068, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [9.9352]
train_epoch: 1069, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [9.9450]
train_epoch: 1070, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [9.9552]
train_epoch: 1071, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [9.9655]
train_epoch: 1072, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [9.9750]
train_epoch: 1073, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [9.9852]
train_epoch: 1074, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [9.9958]
train_epoch: 1075, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [10.0057]
train_epoch: 1076, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [10.0159]
train_epoch: 1077, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [10.0261]
train_epoch: 1078, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [10.0362]
train_epoch: 1079, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [10.0465]
train_epoch: 1080, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [10.0570]
train_epoch: 1081, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [10.0677]
train_epoch: 1082, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [10.0781]
train_epoch: 1083, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [10.0883]
train_epoch: 1084, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [10.0989]
train_epoch: 1085, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [10.1094]
train_epoch: 1086, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [10.1195]
