{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.4407, recall20: 0.0000 recall10: 0.0000 [7.4698]
train_epoch: 1002, loss: 0.4406, recall20: 0.0000 recall10: 0.0000 [7.4824]
train_epoch: 1003, loss: 0.4406, recall20: 0.0000 recall10: 0.0000 [7.4911]
train_epoch: 1004, loss: 0.4406, recall20: 0.0000 recall10: 0.0000 [7.4996]
train_epoch: 1005, loss: 0.4405, recall20: 0.0000 recall10: 0.0000 [7.5077]
train_epoch: 1006, loss: 0.4405, recall20: 0.0000 recall10: 0.0000 [7.5158]
train_epoch: 1007, loss: 0.4405, recall20: 0.0000 recall10: 0.0000 [7.5243]
train_epoch: 1008, loss: 0.4404, recall20: 0.0000 recall10: 0.0000 [7.5321]
train_epoch: 1009, loss: 0.4404, recall20: 0.0000 recall10: 0.0000 [7.5404]
train_epoch: 1010, loss: 0.4404, recall20: 0.0000 recall10: 0.0000 [7.5485]
train_epoch: 1011, loss: 0.4403, recall20: 0.0000 recall10: 0.0000 [7.5566]
train_epoch: 1012, loss: 0.4403, recall20: 0.0000 recall10: 0.0000 [7.5651]
train_epoch: 1013, loss: 0.4403, recall20: 0.0000 recall10: 0.0000 [7.5733]
train_epoch: 1014, loss: 0.4403, recall20: 0.0000 recall10: 0.0000 [7.5814]
train_epoch: 1015, loss: 0.4402, recall20: 0.0000 recall10: 0.0000 [7.5899]
train_epoch: 1016, loss: 0.4402, recall20: 0.0000 recall10: 0.0000 [7.5978]
train_epoch: 1017, loss: 0.4402, recall20: 0.0000 recall10: 0.0000 [7.6058]
train_epoch: 1018, loss: 0.4401, recall20: 0.0000 recall10: 0.0000 [7.6148]
train_epoch: 1019, loss: 0.4401, recall20: 0.0000 recall10: 0.0000 [7.6227]
train_epoch: 1020, loss: 0.4401, recall20: 0.0000 recall10: 0.0000 [7.6300]
train_epoch: 1021, loss: 0.4400, recall20: 0.0000 recall10: 0.0000 [7.6383]
train_epoch: 1022, loss: 0.4400, recall20: 0.0000 recall10: 0.0000 [7.6470]
train_epoch: 1023, loss: 0.4400, recall20: 0.0000 recall10: 0.0000 [7.6553]
train_epoch: 1024, loss: 0.4400, recall20: 0.0000 recall10: 0.0000 [7.6638]
train_epoch: 1025, loss: 0.4399, recall20: 0.0000 recall10: 0.0000 [7.6718]
train_epoch: 1026, loss: 0.4399, recall20: 0.0000 recall10: 0.0000 [7.6799]
train_epoch: 1027, loss: 0.4399, recall20: 0.0000 recall10: 0.0000 [7.6878]
train_epoch: 1028, loss: 0.4398, recall20: 0.0000 recall10: 0.0000 [7.6968]
train_epoch: 1029, loss: 0.4398, recall20: 0.0000 recall10: 0.0000 [7.7058]
train_epoch: 1030, loss: 0.4398, recall20: 0.0000 recall10: 0.0000 [7.7136]
train_epoch: 1031, loss: 0.4397, recall20: 0.0000 recall10: 0.0000 [7.7223]
train_epoch: 1032, loss: 0.4397, recall20: 0.0000 recall10: 0.0000 [7.7306]
train_epoch: 1033, loss: 0.4397, recall20: 0.0000 recall10: 0.0000 [7.7382]
train_epoch: 1034, loss: 0.4397, recall20: 0.0000 recall10: 0.0000 [7.7467]
train_epoch: 1035, loss: 0.4396, recall20: 0.0000 recall10: 0.0000 [7.7552]
train_epoch: 1036, loss: 0.4396, recall20: 0.0000 recall10: 0.0000 [7.7636]
train_epoch: 1037, loss: 0.4396, recall20: 0.0000 recall10: 0.0000 [7.7719]
train_epoch: 1038, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [7.7802]
train_epoch: 1039, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [7.7886]
train_epoch: 1040, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [7.7970]
train_epoch: 1041, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [7.8055]
train_epoch: 1042, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [7.8138]
train_epoch: 1043, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [7.8226]
train_epoch: 1044, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [7.8314]
train_epoch: 1045, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [7.8399]
train_epoch: 1046, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [7.8489]
train_epoch: 1047, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [7.8579]
train_epoch: 1048, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [7.8663]
train_epoch: 1049, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [7.8754]
train_epoch: 1050, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [7.8840]
train_epoch: 1051, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [7.8928]
train_epoch: 1052, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [7.9014]
train_epoch: 1053, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [7.9102]
train_epoch: 1054, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [7.9190]
train_epoch: 1055, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [7.9272]
train_epoch: 1056, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [7.9351]
train_epoch: 1057, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [7.9436]
train_epoch: 1058, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [7.9519]
train_epoch: 1059, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [7.9602]
train_epoch: 1060, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [7.9680]
train_epoch: 1061, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [7.9761]
train_epoch: 1062, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [7.9843]
train_epoch: 1063, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [7.9920]
train_epoch: 1064, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [8.0006]
train_epoch: 1065, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [8.0090]
train_epoch: 1066, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [8.0168]
train_epoch: 1067, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [8.0252]
train_epoch: 1068, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [8.0339]
train_epoch: 1069, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [8.0413]
train_epoch: 1070, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [8.0498]
train_epoch: 1071, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [8.0585]
train_epoch: 1072, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [8.0664]
