{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [7.2501]
train_epoch: 1002, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [7.2630]
train_epoch: 1003, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [7.2719]
train_epoch: 1004, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [7.2807]
train_epoch: 1005, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [7.2893]
train_epoch: 1006, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [7.2975]
train_epoch: 1007, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [7.3056]
train_epoch: 1008, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [7.3143]
train_epoch: 1009, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [7.3228]
train_epoch: 1010, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [7.3318]
train_epoch: 1011, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [7.3410]
train_epoch: 1012, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [7.3493]
train_epoch: 1013, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [7.3573]
train_epoch: 1014, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [7.3656]
train_epoch: 1015, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [7.3745]
train_epoch: 1016, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [7.3833]
train_epoch: 1017, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [7.3911]
train_epoch: 1018, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [7.3994]
train_epoch: 1019, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [7.4077]
train_epoch: 1020, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [7.4167]
train_epoch: 1021, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [7.4266]
train_epoch: 1022, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [7.4364]
train_epoch: 1023, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [7.4460]
train_epoch: 1024, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [7.4556]
train_epoch: 1025, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [7.4649]
train_epoch: 1026, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [7.4761]
train_epoch: 1027, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [7.4862]
train_epoch: 1028, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [7.4952]
train_epoch: 1029, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [7.5038]
train_epoch: 1030, loss: 0.3774, recall20: 0.0000 recall10: 0.0000 [7.5125]
train_epoch: 1031, loss: 0.3774, recall20: 0.0000 recall10: 0.0000 [7.5219]
train_epoch: 1032, loss: 0.3774, recall20: 0.0000 recall10: 0.0000 [7.5322]
train_epoch: 1033, loss: 0.3774, recall20: 0.0000 recall10: 0.0000 [7.5437]
train_epoch: 1034, loss: 0.3774, recall20: 0.0000 recall10: 0.0000 [7.5535]
train_epoch: 1035, loss: 0.3773, recall20: 0.0000 recall10: 0.0000 [7.5631]
train_epoch: 1036, loss: 0.3773, recall20: 0.0000 recall10: 0.0000 [7.5726]
train_epoch: 1037, loss: 0.3773, recall20: 0.0000 recall10: 0.0000 [7.5815]
train_epoch: 1038, loss: 0.3773, recall20: 0.0000 recall10: 0.0000 [7.5901]
train_epoch: 1039, loss: 0.3773, recall20: 0.0000 recall10: 0.0000 [7.5991]
train_epoch: 1040, loss: 0.3773, recall20: 0.0000 recall10: 0.0000 [7.6081]
train_epoch: 1041, loss: 0.3772, recall20: 0.0000 recall10: 0.0000 [7.6167]
train_epoch: 1042, loss: 0.3772, recall20: 0.0000 recall10: 0.0000 [7.6257]
train_epoch: 1043, loss: 0.3772, recall20: 0.0000 recall10: 0.0000 [7.6337]
train_epoch: 1044, loss: 0.3772, recall20: 0.0000 recall10: 0.0000 [7.6426]
train_epoch: 1045, loss: 0.3772, recall20: 0.0000 recall10: 0.0000 [7.6504]
train_epoch: 1046, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [7.6591]
train_epoch: 1047, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [7.6680]
train_epoch: 1048, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [7.6759]
train_epoch: 1049, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [7.6850]
train_epoch: 1050, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [7.6932]
train_epoch: 1051, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [7.7005]
train_epoch: 1052, loss: 0.3770, recall20: 0.0000 recall10: 0.0000 [7.7082]
train_epoch: 1053, loss: 0.3770, recall20: 0.0000 recall10: 0.0000 [7.7169]
train_epoch: 1054, loss: 0.3770, recall20: 0.0000 recall10: 0.0000 [7.7245]
train_epoch: 1055, loss: 0.3770, recall20: 0.0000 recall10: 0.0000 [7.7320]
train_epoch: 1056, loss: 0.3770, recall20: 0.0000 recall10: 0.0000 [7.7398]
train_epoch: 1057, loss: 0.3769, recall20: 0.0000 recall10: 0.0000 [7.7483]
train_epoch: 1058, loss: 0.3769, recall20: 0.0000 recall10: 0.0000 [7.7569]
train_epoch: 1059, loss: 0.3769, recall20: 0.0000 recall10: 0.0000 [7.7646]
train_epoch: 1060, loss: 0.3769, recall20: 0.0000 recall10: 0.0000 [7.7727]
train_epoch: 1061, loss: 0.3769, recall20: 0.0000 recall10: 0.0000 [7.7809]
train_epoch: 1062, loss: 0.3769, recall20: 0.0000 recall10: 0.0000 [7.7885]
train_epoch: 1063, loss: 0.3768, recall20: 0.0000 recall10: 0.0000 [7.7970]
train_epoch: 1064, loss: 0.3768, recall20: 0.0000 recall10: 0.0000 [7.8052]
train_epoch: 1065, loss: 0.3768, recall20: 0.0000 recall10: 0.0000 [7.8134]
train_epoch: 1066, loss: 0.3768, recall20: 0.0000 recall10: 0.0000 [7.8223]
train_epoch: 1067, loss: 0.3768, recall20: 0.0000 recall10: 0.0000 [7.8317]
train_epoch: 1068, loss: 0.3768, recall20: 0.0000 recall10: 0.0000 [7.8407]
