{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.3617, recall20: 0.0000 recall10: 0.0000 [64.5003]
train_epoch: 1002, loss: 0.3617, recall20: 0.0000 recall10: 0.0000 [64.5668]
train_epoch: 1003, loss: 0.3617, recall20: 0.0000 recall10: 0.0000 [64.6293]
train_epoch: 1004, loss: 0.3617, recall20: 0.0000 recall10: 0.0000 [64.6944]
train_epoch: 1005, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [64.7555]
train_epoch: 1006, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [64.8195]
train_epoch: 1007, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [64.8804]
train_epoch: 1008, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [64.9473]
train_epoch: 1009, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [65.0165]
train_epoch: 1010, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [65.0813]
train_epoch: 1011, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [65.1439]
train_epoch: 1012, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [65.2144]
train_epoch: 1013, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [65.2796]
train_epoch: 1014, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [65.3433]
train_epoch: 1015, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [65.4103]
train_epoch: 1016, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [65.4756]
train_epoch: 1017, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [65.5430]
train_epoch: 1018, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [65.6093]
train_epoch: 1019, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [65.6757]
train_epoch: 1020, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [65.7406]
train_epoch: 1021, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [65.8099]
train_epoch: 1022, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [65.8720]
train_epoch: 1023, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [65.9371]
train_epoch: 1024, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [66.0070]
train_epoch: 1025, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [66.0702]
train_epoch: 1026, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [66.1384]
train_epoch: 1027, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [66.2022]
train_epoch: 1028, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [66.2633]
train_epoch: 1029, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [66.3283]
train_epoch: 1030, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [66.3967]
train_epoch: 1031, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [66.4604]
train_epoch: 1032, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [66.5289]
train_epoch: 1033, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [66.5916]
train_epoch: 1034, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [66.6522]
train_epoch: 1035, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [66.7218]
train_epoch: 1036, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [66.7846]
train_epoch: 1037, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [66.8527]
train_epoch: 1038, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [66.9153]
train_epoch: 1039, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [66.9799]
train_epoch: 1040, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [67.0446]
train_epoch: 1041, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [67.1099]
train_epoch: 1042, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [67.1734]
train_epoch: 1043, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [67.2390]
train_epoch: 1044, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [67.3015]
train_epoch: 1045, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [67.3649]
train_epoch: 1046, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [67.4278]
train_epoch: 1047, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [67.4936]
train_epoch: 1048, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [67.5588]
train_epoch: 1049, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [67.6263]
train_epoch: 1050, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [67.6885]
train_epoch: 1051, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [67.7529]
train_epoch: 1052, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [67.8159]
train_epoch: 1053, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [67.8801]
train_epoch: 1054, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [67.9446]
train_epoch: 1055, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [68.0116]
train_epoch: 1056, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [68.0733]
train_epoch: 1057, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [68.1342]
train_epoch: 1058, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [68.1983]
train_epoch: 1059, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [68.2648]
train_epoch: 1060, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [68.3277]
train_epoch: 1061, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [68.3955]
train_epoch: 1062, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [68.4598]
train_epoch: 1063, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [68.5227]
train_epoch: 1064, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [68.5932]
train_epoch: 1065, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [68.6575]
train_epoch: 1066, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [68.7253]
train_epoch: 1067, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [68.7890]
train_epoch: 1068, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [68.8549]
train_epoch: 1069, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [68.9248]
train_epoch: 1070, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [68.9883]
train_epoch: 1071, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [69.0521]
train_epoch: 1072, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [69.1171]
train_epoch: 1073, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [69.1800]
train_epoch: 1074, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [69.2448]
train_epoch: 1075, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [69.3049]
train_epoch: 1076, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [69.3735]
train_epoch: 1077, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [69.4421]
train_epoch: 1078, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [69.5070]
train_epoch: 1079, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [69.5691]
train_epoch: 1080, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [69.6320]
train_epoch: 1081, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [69.6946]
train_epoch: 1082, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [69.7608]
train_epoch: 1083, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [69.8248]
train_epoch: 1084, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [69.8879]
train_epoch: 1085, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [69.9540]
train_epoch: 1086, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [70.0174]
train_epoch: 1087, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [70.0827]
train_epoch: 1088, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [70.1496]
train_epoch: 1089, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [70.2137]
train_epoch: 1090, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [70.2783]
train_epoch: 1091, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [70.3448]
train_epoch: 1092, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [70.4075]
train_epoch: 1093, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [70.4726]
train_epoch: 1094, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [70.5354]
train_epoch: 1095, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [70.6022]
train_epoch: 1096, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [70.6689]
train_epoch: 1097, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [70.7352]
train_epoch: 1098, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [70.7983]
train_epoch: 1099, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [70.8608]
train_epoch: 1100, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [70.9233]
train_epoch: 1101, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [70.9916]
train_epoch: 1102, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [71.0580]
train_epoch: 1103, loss: 0.3593, recall20: 0.0000 recall10: 0.0000 [71.1243]
train_epoch: 1104, loss: 0.3593, recall20: 0.0000 recall10: 0.0000 [71.1872]
train_epoch: 1105, loss: 0.3593, recall20: 0.0000 recall10: 0.0000 [71.2516]
