{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.0929]
train_epoch: 1002, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.1463]
train_epoch: 1003, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.1967]
train_epoch: 1004, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.2412]
train_epoch: 1005, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.2881]
train_epoch: 1006, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.3232]
train_epoch: 1007, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.3586]
train_epoch: 1008, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.4023]
train_epoch: 1009, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.4509]
train_epoch: 1010, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.4992]
train_epoch: 1011, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.5484]
train_epoch: 1012, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.5943]
train_epoch: 1013, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.6390]
train_epoch: 1014, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.6817]
train_epoch: 1015, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.7207]
train_epoch: 1016, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.7633]
train_epoch: 1017, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.8114]
train_epoch: 1018, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.8577]
train_epoch: 1019, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.9043]
train_epoch: 1020, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.9514]
train_epoch: 1021, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [43.9962]
train_epoch: 1022, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [44.0443]
train_epoch: 1023, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [44.0895]
train_epoch: 1024, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.1343]
train_epoch: 1025, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.1748]
train_epoch: 1026, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.2143]
train_epoch: 1027, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.2524]
train_epoch: 1028, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.3001]
train_epoch: 1029, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.3496]
train_epoch: 1030, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.3991]
train_epoch: 1031, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.4483]
train_epoch: 1032, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.4964]
train_epoch: 1033, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.5471]
train_epoch: 1034, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.5977]
train_epoch: 1035, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.6445]
train_epoch: 1036, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.6913]
train_epoch: 1037, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.7384]
train_epoch: 1038, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.7851]
train_epoch: 1039, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.8323]
train_epoch: 1040, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.8797]
train_epoch: 1041, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.9237]
train_epoch: 1042, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [44.9660]
train_epoch: 1043, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.0089]
train_epoch: 1044, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.0460]
train_epoch: 1045, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.0955]
train_epoch: 1046, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.1440]
train_epoch: 1047, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.1925]
train_epoch: 1048, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.2391]
train_epoch: 1049, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.2797]
train_epoch: 1050, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.3233]
train_epoch: 1051, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.3667]
train_epoch: 1052, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.4110]
train_epoch: 1053, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.4482]
train_epoch: 1054, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.4950]
train_epoch: 1055, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.5400]
train_epoch: 1056, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.5832]
train_epoch: 1057, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.6226]
train_epoch: 1058, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.6664]
train_epoch: 1059, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.7148]
train_epoch: 1060, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.7641]
train_epoch: 1061, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.8108]
train_epoch: 1062, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.8541]
train_epoch: 1063, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.8974]
train_epoch: 1064, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.9284]
train_epoch: 1065, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [45.9772]
train_epoch: 1066, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [46.0268]
train_epoch: 1067, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [46.0764]
train_epoch: 1068, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [46.1258]
train_epoch: 1069, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [46.1694]
train_epoch: 1070, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [46.2105]
train_epoch: 1071, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [46.2535]
