{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.5347, recall20: 0.0000 recall10: 0.0000 [6.3943]
train_epoch: 1002, loss: 0.5347, recall20: 0.0000 recall10: 0.0000 [6.4082]
train_epoch: 1003, loss: 0.5346, recall20: 0.0000 recall10: 0.0000 [6.4170]
train_epoch: 1004, loss: 0.5346, recall20: 0.0000 recall10: 0.0000 [6.4253]
train_epoch: 1005, loss: 0.5346, recall20: 0.0000 recall10: 0.0000 [6.4332]
train_epoch: 1006, loss: 0.5345, recall20: 0.0000 recall10: 0.0000 [6.4408]
train_epoch: 1007, loss: 0.5345, recall20: 0.0000 recall10: 0.0000 [6.4505]
train_epoch: 1008, loss: 0.5345, recall20: 0.0000 recall10: 0.0000 [6.4608]
train_epoch: 1009, loss: 0.5344, recall20: 0.0000 recall10: 0.0000 [6.4693]
train_epoch: 1010, loss: 0.5344, recall20: 0.0000 recall10: 0.0000 [6.4774]
train_epoch: 1011, loss: 0.5343, recall20: 0.0000 recall10: 0.0000 [6.4860]
train_epoch: 1012, loss: 0.5343, recall20: 0.0000 recall10: 0.0000 [6.4961]
train_epoch: 1013, loss: 0.5343, recall20: 0.0000 recall10: 0.0000 [6.5048]
train_epoch: 1014, loss: 0.5342, recall20: 0.0000 recall10: 0.0000 [6.5133]
train_epoch: 1015, loss: 0.5342, recall20: 0.0000 recall10: 0.0000 [6.5215]
train_epoch: 1016, loss: 0.5342, recall20: 0.0000 recall10: 0.0000 [6.5301]
train_epoch: 1017, loss: 0.5341, recall20: 0.0000 recall10: 0.0000 [6.5388]
train_epoch: 1018, loss: 0.5341, recall20: 0.0000 recall10: 0.0000 [6.5477]
train_epoch: 1019, loss: 0.5341, recall20: 0.0000 recall10: 0.0000 [6.5568]
train_epoch: 1020, loss: 0.5340, recall20: 0.0000 recall10: 0.0000 [6.5659]
train_epoch: 1021, loss: 0.5340, recall20: 0.0000 recall10: 0.0000 [6.5738]
train_epoch: 1022, loss: 0.5339, recall20: 0.0000 recall10: 0.0000 [6.5824]
train_epoch: 1023, loss: 0.5339, recall20: 0.0000 recall10: 0.0000 [6.5904]
train_epoch: 1024, loss: 0.5339, recall20: 0.0000 recall10: 0.0000 [6.5981]
train_epoch: 1025, loss: 0.5338, recall20: 0.0000 recall10: 0.0000 [6.6062]
train_epoch: 1026, loss: 0.5338, recall20: 0.0000 recall10: 0.0000 [6.6143]
train_epoch: 1027, loss: 0.5338, recall20: 0.0000 recall10: 0.0000 [6.6223]
train_epoch: 1028, loss: 0.5337, recall20: 0.0000 recall10: 0.0000 [6.6324]
train_epoch: 1029, loss: 0.5337, recall20: 0.0000 recall10: 0.0000 [6.6414]
train_epoch: 1030, loss: 0.5337, recall20: 0.0000 recall10: 0.0000 [6.6495]
train_epoch: 1031, loss: 0.5336, recall20: 0.0000 recall10: 0.0000 [6.6574]
train_epoch: 1032, loss: 0.5336, recall20: 0.0000 recall10: 0.0000 [6.6655]
train_epoch: 1033, loss: 0.5335, recall20: 0.0000 recall10: 0.0000 [6.6746]
train_epoch: 1034, loss: 0.5335, recall20: 0.0000 recall10: 0.0000 [6.6829]
train_epoch: 1035, loss: 0.5335, recall20: 0.0000 recall10: 0.0000 [6.6914]
train_epoch: 1036, loss: 0.5334, recall20: 0.0000 recall10: 0.0000 [6.6999]
train_epoch: 1037, loss: 0.5334, recall20: 0.0000 recall10: 0.0000 [6.7081]
train_epoch: 1038, loss: 0.5334, recall20: 0.0000 recall10: 0.0000 [6.7167]
train_epoch: 1039, loss: 0.5333, recall20: 0.0000 recall10: 0.0000 [6.7248]
train_epoch: 1040, loss: 0.5333, recall20: 0.0000 recall10: 0.0000 [6.7331]
train_epoch: 1041, loss: 0.5333, recall20: 0.0000 recall10: 0.0000 [6.7419]
train_epoch: 1042, loss: 0.5332, recall20: 0.0000 recall10: 0.0000 [6.7511]
train_epoch: 1043, loss: 0.5332, recall20: 0.0000 recall10: 0.0000 [6.7594]
train_epoch: 1044, loss: 0.5331, recall20: 0.0000 recall10: 0.0000 [6.7681]
train_epoch: 1045, loss: 0.5331, recall20: 0.0000 recall10: 0.0000 [6.7760]
train_epoch: 1046, loss: 0.5331, recall20: 0.0000 recall10: 0.0000 [6.7835]
train_epoch: 1047, loss: 0.5330, recall20: 0.0000 recall10: 0.0000 [6.7921]
train_epoch: 1048, loss: 0.5330, recall20: 0.0000 recall10: 0.0000 [6.8005]
train_epoch: 1049, loss: 0.5330, recall20: 0.0000 recall10: 0.0000 [6.8082]
train_epoch: 1050, loss: 0.5329, recall20: 0.0000 recall10: 0.0000 [6.8156]
train_epoch: 1051, loss: 0.5329, recall20: 0.0000 recall10: 0.0000 [6.8227]
train_epoch: 1052, loss: 0.5329, recall20: 0.0000 recall10: 0.0000 [6.8313]
train_epoch: 1053, loss: 0.5328, recall20: 0.0000 recall10: 0.0000 [6.8394]
train_epoch: 1054, loss: 0.5328, recall20: 0.0000 recall10: 0.0000 [6.8478]
train_epoch: 1055, loss: 0.5327, recall20: 0.0000 recall10: 0.0000 [6.8566]
train_epoch: 1056, loss: 0.5327, recall20: 0.0000 recall10: 0.0000 [6.8650]
train_epoch: 1057, loss: 0.5327, recall20: 0.0000 recall10: 0.0000 [6.8734]
train_epoch: 1058, loss: 0.5326, recall20: 0.0000 recall10: 0.0000 [6.8822]
train_epoch: 1059, loss: 0.5326, recall20: 0.0000 recall10: 0.0000 [6.8906]
train_epoch: 1060, loss: 0.5325, recall20: 0.0000 recall10: 0.0000 [6.8990]
train_epoch: 1061, loss: 0.5325, recall20: 0.0000 recall10: 0.0000 [6.9071]
train_epoch: 1062, loss: 0.5325, recall20: 0.0000 recall10: 0.0000 [6.9151]
train_epoch: 1063, loss: 0.5324, recall20: 0.0000 recall10: 0.0000 [6.9237]
train_epoch: 1064, loss: 0.5324, recall20: 0.0000 recall10: 0.0000 [6.9318]
train_epoch: 1065, loss: 0.5323, recall20: 0.0000 recall10: 0.0000 [6.9399]
train_epoch: 1066, loss: 0.5323, recall20: 0.0000 recall10: 0.0000 [6.9479]
train_epoch: 1067, loss: 0.5323, recall20: 0.0000 recall10: 0.0000 [6.9556]
train_epoch: 1068, loss: 0.5322, recall20: 0.0000 recall10: 0.0000 [6.9636]
train_epoch: 1069, loss: 0.5322, recall20: 0.0000 recall10: 0.0000 [6.9718]
train_epoch: 1070, loss: 0.5322, recall20: 0.0000 recall10: 0.0000 [6.9795]
train_epoch: 1071, loss: 0.5321, recall20: 0.0000 recall10: 0.0000 [6.9875]
train_epoch: 1072, loss: 0.5321, recall20: 0.0000 recall10: 0.0000 [6.9960]
train_epoch: 1073, loss: 0.5321, recall20: 0.0000 recall10: 0.0000 [7.0042]
train_epoch: 1074, loss: 0.5320, recall20: 0.0000 recall10: 0.0000 [7.0122]
train_epoch: 1075, loss: 0.5320, recall20: 0.0000 recall10: 0.0000 [7.0198]
train_epoch: 1076, loss: 0.5319, recall20: 0.0000 recall10: 0.0000 [7.0280]
train_epoch: 1077, loss: 0.5319, recall20: 0.0000 recall10: 0.0000 [7.0360]
train_epoch: 1078, loss: 0.5319, recall20: 0.0000 recall10: 0.0000 [7.0437]
train_epoch: 1079, loss: 0.5318, recall20: 0.0000 recall10: 0.0000 [7.0518]
train_epoch: 1080, loss: 0.5318, recall20: 0.0000 recall10: 0.0000 [7.0596]
train_epoch: 1081, loss: 0.5318, recall20: 0.0000 recall10: 0.0000 [7.0674]
train_epoch: 1082, loss: 0.5317, recall20: 0.0000 recall10: 0.0000 [7.0759]
train_epoch: 1083, loss: 0.5317, recall20: 0.0000 recall10: 0.0000 [7.0840]
train_epoch: 1084, loss: 0.5317, recall20: 0.0000 recall10: 0.0000 [7.0919]
train_epoch: 1085, loss: 0.5316, recall20: 0.0000 recall10: 0.0000 [7.1001]
train_epoch: 1086, loss: 0.5316, recall20: 0.0000 recall10: 0.0000 [7.1078]
train_epoch: 1087, loss: 0.5316, recall20: 0.0000 recall10: 0.0000 [7.1153]
train_epoch: 1088, loss: 0.5315, recall20: 0.0000 recall10: 0.0000 [7.1235]
train_epoch: 1089, loss: 0.5315, recall20: 0.0000 recall10: 0.0000 [7.1314]
train_epoch: 1090, loss: 0.5314, recall20: 0.0000 recall10: 0.0000 [7.1387]
train_epoch: 1091, loss: 0.5314, recall20: 0.0000 recall10: 0.0000 [7.1470]
train_epoch: 1092, loss: 0.5314, recall20: 0.0000 recall10: 0.0000 [7.1545]
train_epoch: 1093, loss: 0.5313, recall20: 0.0000 recall10: 0.0000 [7.1620]
train_epoch: 1094, loss: 0.5313, recall20: 0.0000 recall10: 0.0000 [7.1702]
train_epoch: 1095, loss: 0.5313, recall20: 0.0000 recall10: 0.0000 [7.1785]
train_epoch: 1096, loss: 0.5312, recall20: 0.0000 recall10: 0.0000 [7.1861]
train_epoch: 1097, loss: 0.5312, recall20: 0.0000 recall10: 0.0000 [7.1950]
train_epoch: 1098, loss: 0.5312, recall20: 0.0000 recall10: 0.0000 [7.2033]
train_epoch: 1099, loss: 0.5311, recall20: 0.0000 recall10: 0.0000 [7.2108]
train_epoch: 1100, loss: 0.5311, recall20: 0.0000 recall10: 0.0000 [7.2181]
train_epoch: 1101, loss: 0.5310, recall20: 0.0000 recall10: 0.0000 [7.2258]
train_epoch: 1102, loss: 0.5310, recall20: 0.0000 recall10: 0.0000 [7.2345]
train_epoch: 1103, loss: 0.5310, recall20: 0.0000 recall10: 0.0000 [7.2424]
train_epoch: 1104, loss: 0.5309, recall20: 0.0000 recall10: 0.0000 [7.2498]
train_epoch: 1105, loss: 0.5309, recall20: 0.0000 recall10: 0.0000 [7.2573]
train_epoch: 1106, loss: 0.5309, recall20: 0.0000 recall10: 0.0000 [7.2648]
train_epoch: 1107, loss: 0.5308, recall20: 0.0000 recall10: 0.0000 [7.2722]
train_epoch: 1108, loss: 0.5308, recall20: 0.0000 recall10: 0.0000 [7.2808]
train_epoch: 1109, loss: 0.5308, recall20: 0.0000 recall10: 0.0000 [7.2887]
train_epoch: 1110, loss: 0.5307, recall20: 0.0000 recall10: 0.0000 [7.2960]
train_epoch: 1111, loss: 0.5307, recall20: 0.0000 recall10: 0.0000 [7.3030]
train_epoch: 1112, loss: 0.5307, recall20: 0.0000 recall10: 0.0000 [7.3106]
train_epoch: 1113, loss: 0.5306, recall20: 0.0000 recall10: 0.0000 [7.3183]
train_epoch: 1114, loss: 0.5306, recall20: 0.0000 recall10: 0.0000 [7.3262]
train_epoch: 1115, loss: 0.5305, recall20: 0.0000 recall10: 0.0000 [7.3334]
train_epoch: 1116, loss: 0.5305, recall20: 0.0000 recall10: 0.0000 [7.3407]
train_epoch: 1117, loss: 0.5305, recall20: 0.0000 recall10: 0.0000 [7.3488]
train_epoch: 1118, loss: 0.5304, recall20: 0.0000 recall10: 0.0000 [7.3561]
train_epoch: 1119, loss: 0.5304, recall20: 0.0000 recall10: 0.0000 [7.3632]
train_epoch: 1120, loss: 0.5304, recall20: 0.0000 recall10: 0.0000 [7.3713]
train_epoch: 1121, loss: 0.5303, recall20: 0.0000 recall10: 0.0000 [7.3792]
train_epoch: 1122, loss: 0.5303, recall20: 0.0000 recall10: 0.0000 [7.3871]
train_epoch: 1123, loss: 0.5303, recall20: 0.0000 recall10: 0.0000 [7.3953]
train_epoch: 1124, loss: 0.5302, recall20: 0.0000 recall10: 0.0000 [7.4029]
