{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.4180]
train_epoch: 1002, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.4675]
train_epoch: 1003, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.5107]
train_epoch: 1004, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.5567]
train_epoch: 1005, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.6032]
train_epoch: 1006, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.6497]
train_epoch: 1007, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.6962]
train_epoch: 1008, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.7432]
train_epoch: 1009, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.7893]
train_epoch: 1010, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.8347]
train_epoch: 1011, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.8807]
train_epoch: 1012, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.9256]
train_epoch: 1013, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [56.9720]
train_epoch: 1014, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [57.0195]
train_epoch: 1015, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [57.0646]
train_epoch: 1016, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.1104]
train_epoch: 1017, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.1569]
train_epoch: 1018, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.2032]
train_epoch: 1019, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.2491]
train_epoch: 1020, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.2965]
train_epoch: 1021, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.3426]
train_epoch: 1022, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.3885]
train_epoch: 1023, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.4350]
train_epoch: 1024, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.4804]
train_epoch: 1025, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.5266]
train_epoch: 1026, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.5722]
train_epoch: 1027, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.6184]
train_epoch: 1028, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.6649]
train_epoch: 1029, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.7114]
train_epoch: 1030, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.7583]
train_epoch: 1031, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.8043]
train_epoch: 1032, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.8495]
train_epoch: 1033, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.8936]
train_epoch: 1034, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.9406]
train_epoch: 1035, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [57.9868]
train_epoch: 1036, loss: 0.3623, recall20: 0.0000 recall10: 0.0000 [58.0345]
