{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4064, recall20: 0.0000 recall10: 0.0000 [11.3793]
train_epoch: 1002, loss: 0.4064, recall20: 0.0000 recall10: 0.0000 [11.3989]
train_epoch: 1003, loss: 0.4063, recall20: 0.0000 recall10: 0.0000 [11.4124]
train_epoch: 1004, loss: 0.4063, recall20: 0.0000 recall10: 0.0000 [11.4244]
train_epoch: 1005, loss: 0.4062, recall20: 0.0000 recall10: 0.0000 [11.4366]
train_epoch: 1006, loss: 0.4062, recall20: 0.0000 recall10: 0.0000 [11.4486]
train_epoch: 1007, loss: 0.4062, recall20: 0.0000 recall10: 0.0000 [11.4647]
train_epoch: 1008, loss: 0.4061, recall20: 0.0000 recall10: 0.0000 [11.4765]
train_epoch: 1009, loss: 0.4061, recall20: 0.0000 recall10: 0.0000 [11.4894]
train_epoch: 1010, loss: 0.4060, recall20: 0.0000 recall10: 0.0000 [11.5024]
train_epoch: 1011, loss: 0.4060, recall20: 0.0000 recall10: 0.0000 [11.5144]
train_epoch: 1012, loss: 0.4059, recall20: 0.0000 recall10: 0.0000 [11.5268]
train_epoch: 1013, loss: 0.4059, recall20: 0.0000 recall10: 0.0000 [11.5392]
train_epoch: 1014, loss: 0.4058, recall20: 0.0000 recall10: 0.0000 [11.5520]
train_epoch: 1015, loss: 0.4058, recall20: 0.0000 recall10: 0.0000 [11.5641]
train_epoch: 1016, loss: 0.4057, recall20: 0.0000 recall10: 0.0000 [11.5761]
train_epoch: 1017, loss: 0.4057, recall20: 0.0000 recall10: 0.0000 [11.5886]
train_epoch: 1018, loss: 0.4056, recall20: 0.0000 recall10: 0.0000 [11.6029]
train_epoch: 1019, loss: 0.4056, recall20: 0.0000 recall10: 0.0000 [11.6167]
train_epoch: 1020, loss: 0.4055, recall20: 0.0000 recall10: 0.0000 [11.6310]
train_epoch: 1021, loss: 0.4055, recall20: 0.0000 recall10: 0.0000 [11.6433]
train_epoch: 1022, loss: 0.4054, recall20: 0.0000 recall10: 0.0000 [11.6551]
train_epoch: 1023, loss: 0.4054, recall20: 0.0000 recall10: 0.0000 [11.6672]
train_epoch: 1024, loss: 0.4053, recall20: 0.0000 recall10: 0.0000 [11.6837]
train_epoch: 1025, loss: 0.4053, recall20: 0.0000 recall10: 0.0000 [11.6960]
train_epoch: 1026, loss: 0.4053, recall20: 0.0000 recall10: 0.0000 [11.7082]
train_epoch: 1027, loss: 0.4052, recall20: 0.0000 recall10: 0.0000 [11.7202]
train_epoch: 1028, loss: 0.4052, recall20: 0.0000 recall10: 0.0000 [11.7331]
train_epoch: 1029, loss: 0.4051, recall20: 0.0000 recall10: 0.0000 [11.7452]
train_epoch: 1030, loss: 0.4051, recall20: 0.0000 recall10: 0.0000 [11.7574]
train_epoch: 1031, loss: 0.4050, recall20: 0.0000 recall10: 0.0000 [11.7697]
train_epoch: 1032, loss: 0.4050, recall20: 0.0000 recall10: 0.0000 [11.7817]
train_epoch: 1033, loss: 0.4049, recall20: 0.0000 recall10: 0.0000 [11.7939]
train_epoch: 1034, loss: 0.4049, recall20: 0.0000 recall10: 0.0000 [11.8062]
train_epoch: 1035, loss: 0.4048, recall20: 0.0000 recall10: 0.0000 [11.8185]
train_epoch: 1036, loss: 0.4048, recall20: 0.0000 recall10: 0.0000 [11.8340]
train_epoch: 1037, loss: 0.4047, recall20: 0.0000 recall10: 0.0000 [11.8469]
train_epoch: 1038, loss: 0.4047, recall20: 0.0000 recall10: 0.0000 [11.8593]
train_epoch: 1039, loss: 0.4046, recall20: 0.0000 recall10: 0.0000 [11.8741]
train_epoch: 1040, loss: 0.4046, recall20: 0.0000 recall10: 0.0000 [11.8864]
train_epoch: 1041, loss: 0.4046, recall20: 0.0000 recall10: 0.0000 [11.8985]
train_epoch: 1042, loss: 0.4045, recall20: 0.0000 recall10: 0.0000 [11.9104]
train_epoch: 1043, loss: 0.4045, recall20: 0.0000 recall10: 0.0000 [11.9225]
train_epoch: 1044, loss: 0.4044, recall20: 0.0000 recall10: 0.0000 [11.9345]
train_epoch: 1045, loss: 0.4044, recall20: 0.0000 recall10: 0.0000 [11.9465]
train_epoch: 1046, loss: 0.4043, recall20: 0.0000 recall10: 0.0000 [11.9585]
train_epoch: 1047, loss: 0.4043, recall20: 0.0000 recall10: 0.0000 [11.9705]
train_epoch: 1048, loss: 0.4042, recall20: 0.0000 recall10: 0.0000 [11.9825]
train_epoch: 1049, loss: 0.4042, recall20: 0.0000 recall10: 0.0000 [11.9946]
train_epoch: 1050, loss: 0.4041, recall20: 0.0000 recall10: 0.0000 [12.0067]
