{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.3791, recall20: 0.0000 recall10: 0.0000 [91.3613]
train_epoch: 1002, loss: 0.3791, recall20: 0.0000 recall10: 0.0000 [91.3762]
train_epoch: 1003, loss: 0.3790, recall20: 0.0000 recall10: 0.0000 [91.3950]
train_epoch: 1004, loss: 0.3790, recall20: 0.0000 recall10: 0.0000 [91.4121]
train_epoch: 1005, loss: 0.3790, recall20: 0.0000 recall10: 0.0000 [91.4240]
train_epoch: 1006, loss: 0.3789, recall20: 0.0000 recall10: 0.0000 [91.4358]
train_epoch: 1007, loss: 0.3789, recall20: 0.0000 recall10: 0.0000 [91.4486]
train_epoch: 1008, loss: 0.3789, recall20: 0.0000 recall10: 0.0000 [91.4626]
train_epoch: 1009, loss: 0.3788, recall20: 0.0000 recall10: 0.0000 [91.4766]
train_epoch: 1010, loss: 0.3788, recall20: 0.0000 recall10: 0.0000 [91.4892]
train_epoch: 1011, loss: 0.3788, recall20: 0.0000 recall10: 0.0000 [91.5028]
train_epoch: 1012, loss: 0.3787, recall20: 0.0000 recall10: 0.0000 [91.5160]
train_epoch: 1013, loss: 0.3787, recall20: 0.0000 recall10: 0.0000 [91.5298]
train_epoch: 1014, loss: 0.3787, recall20: 0.0000 recall10: 0.0000 [91.5402]
train_epoch: 1015, loss: 0.3786, recall20: 0.0000 recall10: 0.0000 [91.5527]
train_epoch: 1016, loss: 0.3786, recall20: 0.0000 recall10: 0.0000 [91.5633]
train_epoch: 1017, loss: 0.3786, recall20: 0.0000 recall10: 0.0000 [91.5745]
train_epoch: 1018, loss: 0.3785, recall20: 0.0000 recall10: 0.0000 [91.5867]
train_epoch: 1019, loss: 0.3785, recall20: 0.0000 recall10: 0.0000 [91.5991]
train_epoch: 1020, loss: 0.3784, recall20: 0.0000 recall10: 0.0000 [91.6101]
train_epoch: 1021, loss: 0.3784, recall20: 0.0000 recall10: 0.0000 [91.6227]
train_epoch: 1022, loss: 0.3784, recall20: 0.0000 recall10: 0.0000 [91.6356]
train_epoch: 1023, loss: 0.3783, recall20: 0.0000 recall10: 0.0000 [91.6480]
train_epoch: 1024, loss: 0.3783, recall20: 0.0000 recall10: 0.0000 [91.6595]
train_epoch: 1025, loss: 0.3783, recall20: 0.0000 recall10: 0.0000 [91.6712]
train_epoch: 1026, loss: 0.3782, recall20: 0.0000 recall10: 0.0000 [91.6833]
train_epoch: 1027, loss: 0.3782, recall20: 0.0000 recall10: 0.0000 [91.6950]
train_epoch: 1028, loss: 0.3782, recall20: 0.0000 recall10: 0.0000 [91.7061]
train_epoch: 1029, loss: 0.3781, recall20: 0.0000 recall10: 0.0000 [91.7180]
train_epoch: 1030, loss: 0.3781, recall20: 0.0000 recall10: 0.0000 [91.7296]
train_epoch: 1031, loss: 0.3781, recall20: 0.0000 recall10: 0.0000 [91.7420]
train_epoch: 1032, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [91.7535]
train_epoch: 1033, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [91.7640]
train_epoch: 1034, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [91.7766]
train_epoch: 1035, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [91.7884]
train_epoch: 1036, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [91.7989]
train_epoch: 1037, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [91.8088]
train_epoch: 1038, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [91.8214]
train_epoch: 1039, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [91.8312]
train_epoch: 1040, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [91.8428]
train_epoch: 1041, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [91.8527]
train_epoch: 1042, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [91.8628]
train_epoch: 1043, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [91.8726]
train_epoch: 1044, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [91.8837]
train_epoch: 1045, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [91.8947]
train_epoch: 1046, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [91.9055]
train_epoch: 1047, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [91.9157]
train_epoch: 1048, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [91.9264]
train_epoch: 1049, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [91.9371]
train_epoch: 1050, loss: 0.3774, recall20: 0.0000 recall10: 0.0000 [91.9484]
train_epoch: 1051, loss: 0.3774, recall20: 0.0000 recall10: 0.0000 [91.9597]
train_epoch: 1052, loss: 0.3774, recall20: 0.0000 recall10: 0.0000 [91.9716]
train_epoch: 1053, loss: 0.3773, recall20: 0.0000 recall10: 0.0000 [91.9814]
train_epoch: 1054, loss: 0.3773, recall20: 0.0000 recall10: 0.0000 [91.9904]
train_epoch: 1055, loss: 0.3773, recall20: 0.0000 recall10: 0.0000 [92.0051]
train_epoch: 1056, loss: 0.3772, recall20: 0.0000 recall10: 0.0000 [92.0184]
train_epoch: 1057, loss: 0.3772, recall20: 0.0000 recall10: 0.0000 [92.0290]
train_epoch: 1058, loss: 0.3772, recall20: 0.0000 recall10: 0.0000 [92.0391]
train_epoch: 1059, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [92.0495]
train_epoch: 1060, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [92.0595]
train_epoch: 1061, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [92.0696]
train_epoch: 1062, loss: 0.3771, recall20: 0.0000 recall10: 0.0000 [92.0854]
train_epoch: 1063, loss: 0.3770, recall20: 0.0000 recall10: 0.0000 [92.1007]
train_epoch: 1064, loss: 0.3770, recall20: 0.0000 recall10: 0.0000 [92.1140]
train_epoch: 1065, loss: 0.3770, recall20: 0.0000 recall10: 0.0000 [92.1281]
train_epoch: 1066, loss: 0.3769, recall20: 0.0000 recall10: 0.0000 [92.1431]
train_epoch: 1067, loss: 0.3769, recall20: 0.0000 recall10: 0.0000 [92.1570]
train_epoch: 1068, loss: 0.3769, recall20: 0.0000 recall10: 0.0000 [92.1712]
train_epoch: 1069, loss: 0.3768, recall20: 0.0000 recall10: 0.0000 [92.1880]
train_epoch: 1070, loss: 0.3768, recall20: 0.0000 recall10: 0.0000 [92.2027]
train_epoch: 1071, loss: 0.3768, recall20: 0.0000 recall10: 0.0000 [92.2168]
train_epoch: 1072, loss: 0.3767, recall20: 0.0000 recall10: 0.0000 [92.2319]
train_epoch: 1073, loss: 0.3767, recall20: 0.0000 recall10: 0.0000 [92.2462]
train_epoch: 1074, loss: 0.3767, recall20: 0.0000 recall10: 0.0000 [92.2601]
train_epoch: 1075, loss: 0.3767, recall20: 0.0000 recall10: 0.0000 [92.2732]
train_epoch: 1076, loss: 0.3766, recall20: 0.0000 recall10: 0.0000 [92.2884]
train_epoch: 1077, loss: 0.3766, recall20: 0.0000 recall10: 0.0000 [92.3039]
train_epoch: 1078, loss: 0.3766, recall20: 0.0000 recall10: 0.0000 [92.3162]
train_epoch: 1079, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [92.3322]
train_epoch: 1080, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [92.3465]
train_epoch: 1081, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [92.3627]
train_epoch: 1082, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [92.3746]
train_epoch: 1083, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [92.3934]
train_epoch: 1084, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [92.4131]
train_epoch: 1085, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [92.4269]
train_epoch: 1086, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [92.4424]
train_epoch: 1087, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [92.4580]
train_epoch: 1088, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [92.4740]
train_epoch: 1089, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [92.4894]
train_epoch: 1090, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [92.5023]
train_epoch: 1091, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [92.5167]
train_epoch: 1092, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [92.5321]
train_epoch: 1093, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [92.5453]
train_epoch: 1094, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [92.5606]
train_epoch: 1095, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [92.5791]
