{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8256]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8409]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8527]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8648]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8792]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8933]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9070]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9190]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9306]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9484]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9609]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9724]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9839]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9977]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0093]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0231]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0340]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0468]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0610]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0768]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0887]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1044]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1189]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1316]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1442]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1584]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1702]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1836]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1945]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2164]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2324]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2454]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2600]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2744]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2884]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3040]
train_epoch: 1037, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3186]
train_epoch: 1038, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3325]
train_epoch: 1039, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3448]
train_epoch: 1040, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3596]
train_epoch: 1041, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3737]
train_epoch: 1042, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3842]
train_epoch: 1043, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3983]
train_epoch: 1044, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4134]
train_epoch: 1045, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4270]
train_epoch: 1046, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4391]
train_epoch: 1047, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4531]
train_epoch: 1048, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4656]
train_epoch: 1049, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4776]
train_epoch: 1050, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4931]
train_epoch: 1051, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.5060]
train_epoch: 1052, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.5190]
train_epoch: 1053, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.5310]
train_epoch: 1054, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.5450]
