{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.0199]
train_epoch: 1002, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.0607]
train_epoch: 1003, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.0849]
train_epoch: 1004, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.1087]
train_epoch: 1005, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.2259]
train_epoch: 1006, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.2441]
train_epoch: 1007, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.2935]
train_epoch: 1008, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.4117]
train_epoch: 1009, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.4978]
train_epoch: 1010, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.5986]
train_epoch: 1011, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.6781]
train_epoch: 1012, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.7621]
train_epoch: 1013, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.7767]
train_epoch: 1014, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.8099]
train_epoch: 1015, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.8224]
train_epoch: 1016, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.8440]
train_epoch: 1017, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.9522]
train_epoch: 1018, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [31.9949]
train_epoch: 1019, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.0658]
train_epoch: 1020, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.0966]
train_epoch: 1021, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.1230]
train_epoch: 1022, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.1673]
train_epoch: 1023, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.2566]
train_epoch: 1024, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.2899]
train_epoch: 1025, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.3047]
train_epoch: 1026, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.3385]
train_epoch: 1027, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.3724]
train_epoch: 1028, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.4092]
train_epoch: 1029, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.4248]
train_epoch: 1030, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.4611]
train_epoch: 1031, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.5209]
train_epoch: 1032, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.5323]
train_epoch: 1033, loss: 0.3384, recall20: 0.0000 recall10: 0.0000 [32.5465]
