{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 0.3189, recall20: 0.0000 recall10: 0.0000 [35.2934]
train_epoch: 1002, loss: 0.3188, recall20: 0.0000 recall10: 0.0000 [35.3367]
train_epoch: 1003, loss: 0.3188, recall20: 0.0000 recall10: 0.0000 [35.3567]
train_epoch: 1004, loss: 0.3188, recall20: 0.0000 recall10: 0.0000 [35.3826]
train_epoch: 1005, loss: 0.3187, recall20: 0.0000 recall10: 0.0000 [35.4121]
train_epoch: 1006, loss: 0.3187, recall20: 0.0000 recall10: 0.0000 [35.4439]
train_epoch: 1007, loss: 0.3187, recall20: 0.0000 recall10: 0.0000 [35.4633]
train_epoch: 1008, loss: 0.3186, recall20: 0.0000 recall10: 0.0000 [35.4858]
train_epoch: 1009, loss: 0.3186, recall20: 0.0000 recall10: 0.0000 [35.5179]
train_epoch: 1010, loss: 0.3186, recall20: 0.0000 recall10: 0.0000 [35.5369]
train_epoch: 1011, loss: 0.3186, recall20: 0.0000 recall10: 0.0000 [35.5682]
train_epoch: 1012, loss: 0.3185, recall20: 0.0000 recall10: 0.0000 [35.5906]
train_epoch: 1013, loss: 0.3185, recall20: 0.0000 recall10: 0.0000 [35.6228]
train_epoch: 1014, loss: 0.3185, recall20: 0.0000 recall10: 0.0000 [35.6436]
train_epoch: 1015, loss: 0.3185, recall20: 0.0000 recall10: 0.0000 [35.6715]
train_epoch: 1016, loss: 0.3184, recall20: 0.0000 recall10: 0.0000 [35.6955]
train_epoch: 1017, loss: 0.3184, recall20: 0.0000 recall10: 0.0000 [35.7183]
train_epoch: 1018, loss: 0.3184, recall20: 0.0000 recall10: 0.0000 [35.7392]
train_epoch: 1019, loss: 0.3183, recall20: 0.0000 recall10: 0.0000 [35.7622]
train_epoch: 1020, loss: 0.3183, recall20: 0.0000 recall10: 0.0000 [35.7843]
train_epoch: 1021, loss: 0.3183, recall20: 0.0000 recall10: 0.0000 [35.8061]
train_epoch: 1022, loss: 0.3183, recall20: 0.0000 recall10: 0.0000 [35.8552]
train_epoch: 1023, loss: 0.3182, recall20: 0.0000 recall10: 0.0000 [35.8787]
train_epoch: 1024, loss: 0.3182, recall20: 0.0000 recall10: 0.0000 [35.9092]
train_epoch: 1025, loss: 0.3182, recall20: 0.0000 recall10: 0.0000 [35.9440]
train_epoch: 1026, loss: 0.3182, recall20: 0.0000 recall10: 0.0000 [35.9894]
train_epoch: 1027, loss: 0.3181, recall20: 0.0000 recall10: 0.0000 [36.0152]
train_epoch: 1028, loss: 0.3181, recall20: 0.0000 recall10: 0.0000 [36.0407]
train_epoch: 1029, loss: 0.3181, recall20: 0.0000 recall10: 0.0000 [36.0813]
train_epoch: 1030, loss: 0.3181, recall20: 0.0000 recall10: 0.0000 [36.1103]
