{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 0.2633, recall20: 0.0000 recall10: 0.0000 [23.5973]
train_epoch: 1002, loss: 0.2632, recall20: 0.0000 recall10: 0.0000 [23.6993]
train_epoch: 1003, loss: 0.2632, recall20: 0.0000 recall10: 0.0000 [23.7425]
train_epoch: 1004, loss: 0.2632, recall20: 0.0000 recall10: 0.0000 [23.7843]
train_epoch: 1005, loss: 0.2631, recall20: 0.0000 recall10: 0.0000 [23.8238]
train_epoch: 1006, loss: 0.2631, recall20: 0.0000 recall10: 0.0000 [23.8672]
train_epoch: 1007, loss: 0.2631, recall20: 0.0000 recall10: 0.0000 [23.9107]
train_epoch: 1008, loss: 0.2631, recall20: 0.0000 recall10: 0.0000 [23.9217]
train_epoch: 1009, loss: 0.2631, recall20: 0.0000 recall10: 0.0000 [23.9618]
train_epoch: 1010, loss: 0.2630, recall20: 0.0000 recall10: 0.0000 [24.0046]
train_epoch: 1011, loss: 0.2630, recall20: 0.0000 recall10: 0.0000 [24.0478]
train_epoch: 1012, loss: 0.2630, recall20: 0.0000 recall10: 0.0000 [24.0954]
train_epoch: 1013, loss: 0.2629, recall20: 0.0000 recall10: 0.0000 [24.1402]
train_epoch: 1014, loss: 0.2629, recall20: 0.0000 recall10: 0.0000 [24.1889]
train_epoch: 1015, loss: 0.2629, recall20: 0.0000 recall10: 0.0000 [24.2044]
train_epoch: 1016, loss: 0.2629, recall20: 0.0000 recall10: 0.0000 [24.2128]
train_epoch: 1017, loss: 0.2628, recall20: 0.0000 recall10: 0.0000 [24.2293]
train_epoch: 1018, loss: 0.2628, recall20: 0.0000 recall10: 0.0000 [24.2435]
train_epoch: 1019, loss: 0.2628, recall20: 0.0000 recall10: 0.0000 [24.2541]
train_epoch: 1020, loss: 0.2628, recall20: 0.0000 recall10: 0.0000 [24.2638]
train_epoch: 1021, loss: 0.2627, recall20: 0.0000 recall10: 0.0000 [24.2737]
train_epoch: 1022, loss: 0.2627, recall20: 0.0000 recall10: 0.0000 [24.2899]
train_epoch: 1023, loss: 0.2627, recall20: 0.0000 recall10: 0.0000 [24.3044]
train_epoch: 1024, loss: 0.2627, recall20: 0.0000 recall10: 0.0000 [24.3193]
train_epoch: 1025, loss: 0.2626, recall20: 0.0000 recall10: 0.0000 [24.3337]
train_epoch: 1026, loss: 0.2627, recall20: 0.1626 recall10: 0.0923 [24.3920]
