{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [50.4606]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [50.5959]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [50.6513]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [50.7055]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [50.7611]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [50.8181]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [50.8730]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [50.9277]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [50.9815]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.0339]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.0887]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.1438]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.1998]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.2537]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.3079]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.3618]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.4142]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.4637]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.5186]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.5702]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.6233]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.6777]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.7321]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.7857]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.8391]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.8939]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [51.9490]
