{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5113]
train_epoch: 1002, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5225]
train_epoch: 1003, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5311]
train_epoch: 1004, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5408]
train_epoch: 1005, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5492]
train_epoch: 1006, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5564]
train_epoch: 1007, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5638]
train_epoch: 1008, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5715]
train_epoch: 1009, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5795]
train_epoch: 1010, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5878]
train_epoch: 1011, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5955]
train_epoch: 1012, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6027]
train_epoch: 1013, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6099]
train_epoch: 1014, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6167]
train_epoch: 1015, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6234]
train_epoch: 1016, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6308]
train_epoch: 1017, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6378]
train_epoch: 1018, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6446]
train_epoch: 1019, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6521]
train_epoch: 1020, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6604]
train_epoch: 1021, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6677]
train_epoch: 1022, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6743]
train_epoch: 1023, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6808]
train_epoch: 1024, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6911]
train_epoch: 1025, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7009]
train_epoch: 1026, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7076]
train_epoch: 1027, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7163]
train_epoch: 1028, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7250]
train_epoch: 1029, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7335]
train_epoch: 1030, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7416]
train_epoch: 1031, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7495]
train_epoch: 1032, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7571]
train_epoch: 1033, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7653]
