{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [29.7575]
train_epoch: 1002, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [29.8113]
train_epoch: 1003, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [29.8573]
train_epoch: 1004, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [29.9101]
train_epoch: 1005, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [29.9606]
train_epoch: 1006, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.0065]
train_epoch: 1007, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.0528]
train_epoch: 1008, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.0844]
train_epoch: 1009, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.1403]
train_epoch: 1010, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.1911]
train_epoch: 1011, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.2386]
train_epoch: 1012, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.2861]
train_epoch: 1013, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.3319]
train_epoch: 1014, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.3837]
train_epoch: 1015, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.4302]
train_epoch: 1016, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.4803]
train_epoch: 1017, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.5280]
train_epoch: 1018, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.5718]
train_epoch: 1019, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.6209]
train_epoch: 1020, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.6734]
train_epoch: 1021, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.7232]
train_epoch: 1022, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.7776]
train_epoch: 1023, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.8243]
train_epoch: 1024, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.8703]
train_epoch: 1025, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.9168]
train_epoch: 1026, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [30.9651]
train_epoch: 1027, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.0161]
train_epoch: 1028, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.0667]
train_epoch: 1029, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.1146]
train_epoch: 1030, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.1599]
train_epoch: 1031, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.1992]
train_epoch: 1032, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.2484]
train_epoch: 1033, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.2949]
train_epoch: 1034, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.3452]
train_epoch: 1035, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.3925]
train_epoch: 1036, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.4403]
train_epoch: 1037, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.4711]
train_epoch: 1038, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.4887]
train_epoch: 1039, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.5038]
train_epoch: 1040, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.5198]
train_epoch: 1041, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.5337]
train_epoch: 1042, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.5461]
train_epoch: 1043, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.5614]
train_epoch: 1044, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.5876]
train_epoch: 1045, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.6029]
train_epoch: 1046, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [31.6454]
