{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2710]
train_epoch: 1002, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2819]
train_epoch: 1003, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2904]
train_epoch: 1004, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2993]
train_epoch: 1005, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3080]
train_epoch: 1006, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3155]
train_epoch: 1007, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3237]
train_epoch: 1008, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3320]
train_epoch: 1009, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3397]
train_epoch: 1010, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3480]
train_epoch: 1011, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3561]
train_epoch: 1012, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3635]
train_epoch: 1013, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3718]
train_epoch: 1014, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3822]
train_epoch: 1015, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3913]
train_epoch: 1016, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3999]
train_epoch: 1017, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4082]
train_epoch: 1018, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4170]
train_epoch: 1019, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4263]
train_epoch: 1020, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4351]
train_epoch: 1021, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4439]
train_epoch: 1022, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4532]
train_epoch: 1023, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4622]
train_epoch: 1024, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4713]
train_epoch: 1025, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4804]
train_epoch: 1026, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4895]
train_epoch: 1027, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4988]
train_epoch: 1028, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5075]
train_epoch: 1029, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5173]
train_epoch: 1030, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5267]
train_epoch: 1031, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5355]
train_epoch: 1032, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5447]
train_epoch: 1033, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5565]
train_epoch: 1034, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5663]
train_epoch: 1035, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5752]
train_epoch: 1036, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5838]
train_epoch: 1037, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5977]
train_epoch: 1038, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6077]
train_epoch: 1039, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6166]
train_epoch: 1040, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6260]
train_epoch: 1041, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6361]
train_epoch: 1042, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6450]
train_epoch: 1043, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6539]
train_epoch: 1044, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6628]
train_epoch: 1045, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6717]
train_epoch: 1046, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6802]
train_epoch: 1047, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6892]
train_epoch: 1048, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6989]
train_epoch: 1049, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7091]
train_epoch: 1050, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7193]
train_epoch: 1051, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7279]
train_epoch: 1052, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7365]
train_epoch: 1053, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7451]
train_epoch: 1054, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7540]
train_epoch: 1055, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7635]
train_epoch: 1056, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7724]
train_epoch: 1057, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7816]
train_epoch: 1058, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.7912]
train_epoch: 1059, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.8007]
train_epoch: 1060, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.8099]
train_epoch: 1061, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.8194]
train_epoch: 1062, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.8290]
train_epoch: 1063, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.8376]
train_epoch: 1064, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.8469]
train_epoch: 1065, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.8566]
