{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3753]
train_epoch: 1002, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3913]
train_epoch: 1003, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4043]
train_epoch: 1004, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4135]
train_epoch: 1005, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4222]
train_epoch: 1006, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4325]
train_epoch: 1007, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4434]
train_epoch: 1008, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4527]
train_epoch: 1009, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4612]
train_epoch: 1010, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4684]
train_epoch: 1011, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4763]
train_epoch: 1012, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4837]
train_epoch: 1013, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4911]
train_epoch: 1014, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4985]
train_epoch: 1015, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5059]
train_epoch: 1016, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5133]
train_epoch: 1017, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5207]
train_epoch: 1018, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5282]
train_epoch: 1019, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5355]
train_epoch: 1020, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5430]
train_epoch: 1021, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5505]
train_epoch: 1022, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5579]
train_epoch: 1023, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5653]
train_epoch: 1024, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5727]
train_epoch: 1025, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5801]
train_epoch: 1026, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5875]
train_epoch: 1027, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.5950]
train_epoch: 1028, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6025]
train_epoch: 1029, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6100]
train_epoch: 1030, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6177]
train_epoch: 1031, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6253]
train_epoch: 1032, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6333]
train_epoch: 1033, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6410]
train_epoch: 1034, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.6486]
