{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.6452]
train_epoch: 1002, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.6609]
train_epoch: 1003, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.6745]
train_epoch: 1004, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.6908]
train_epoch: 1005, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.7045]
train_epoch: 1006, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.7165]
train_epoch: 1007, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.7290]
train_epoch: 1008, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.7418]
train_epoch: 1009, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.7551]
train_epoch: 1010, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.7670]
train_epoch: 1011, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.7923]
train_epoch: 1012, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.8060]
train_epoch: 1013, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.8193]
train_epoch: 1014, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.8323]
train_epoch: 1015, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.8452]
train_epoch: 1016, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.8580]
train_epoch: 1017, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.8706]
train_epoch: 1018, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.8833]
train_epoch: 1019, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [12.8961]
train_epoch: 1020, loss: 0.0010, recall20: 0.1208 recall10: 0.0626 [13.0116]
