{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.3003]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.3198]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.3615]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.4091]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.4546]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.5015]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.5480]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.5926]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.6368]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.6829]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.7244]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.7672]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.8031]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.8488]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.8925]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.9384]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [33.9856]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.0329]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.0724]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.1250]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.1733]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.2221]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.2710]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.3249]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.3698]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.3969]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.4127]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.4275]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.4429]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.4557]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.4703]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.4879]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.5009]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.5162]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.5308]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.5672]
train_epoch: 1037, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.6226]
train_epoch: 1038, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.6677]
train_epoch: 1039, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.7177]
train_epoch: 1040, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.7695]
train_epoch: 1041, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.8119]
train_epoch: 1042, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.8605]
train_epoch: 1043, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.9120]
train_epoch: 1044, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.9648]
train_epoch: 1045, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.0046]
train_epoch: 1046, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.0542]
train_epoch: 1047, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.1040]
train_epoch: 1048, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.1527]
train_epoch: 1049, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.2023]
train_epoch: 1050, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.2513]
train_epoch: 1051, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.2973]
train_epoch: 1052, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.3475]
train_epoch: 1053, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.3959]
train_epoch: 1054, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.4436]
train_epoch: 1055, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.4892]
train_epoch: 1056, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5371]
train_epoch: 1057, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5484]
train_epoch: 1058, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5593]
train_epoch: 1059, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5687]
train_epoch: 1060, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5774]
train_epoch: 1061, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5863]
train_epoch: 1062, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5960]
train_epoch: 1063, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6058]
train_epoch: 1064, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6150]
train_epoch: 1065, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6242]
train_epoch: 1066, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6335]
train_epoch: 1067, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6430]
train_epoch: 1068, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6521]
train_epoch: 1069, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6624]
train_epoch: 1070, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6725]
train_epoch: 1071, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6817]
train_epoch: 1072, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6914]
train_epoch: 1073, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7029]
train_epoch: 1074, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7121]
train_epoch: 1075, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7214]
train_epoch: 1076, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7317]
train_epoch: 1077, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7412]
train_epoch: 1078, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7510]
train_epoch: 1079, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7617]
train_epoch: 1080, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7704]
train_epoch: 1081, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7798]
train_epoch: 1082, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7889]
train_epoch: 1083, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7975]
train_epoch: 1084, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8067]
train_epoch: 1085, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8179]
train_epoch: 1086, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8276]
train_epoch: 1087, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8365]
train_epoch: 1088, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8451]
train_epoch: 1089, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8537]
train_epoch: 1090, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8642]
train_epoch: 1091, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8743]
train_epoch: 1092, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8836]
train_epoch: 1093, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8926]
train_epoch: 1094, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9024]
train_epoch: 1095, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9122]
train_epoch: 1096, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9216]
train_epoch: 1097, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9308]
train_epoch: 1098, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9403]
train_epoch: 1099, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9612]
train_epoch: 1100, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9748]
train_epoch: 1101, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9968]
train_epoch: 1102, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.0155]
train_epoch: 1103, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.0282]
