{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [9.6281]
train_epoch: 1002, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [9.6443]
train_epoch: 1003, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6540]
train_epoch: 1004, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6648]
train_epoch: 1005, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6759]
train_epoch: 1006, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6860]
train_epoch: 1007, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6950]
train_epoch: 1008, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7071]
train_epoch: 1009, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7405]
train_epoch: 1010, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7589]
train_epoch: 1011, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7718]
train_epoch: 1012, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7825]
train_epoch: 1013, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7935]
train_epoch: 1014, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8056]
train_epoch: 1015, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8193]
train_epoch: 1016, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8303]
train_epoch: 1017, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8394]
train_epoch: 1018, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8517]
train_epoch: 1019, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8613]
train_epoch: 1020, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8714]
train_epoch: 1021, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8814]
train_epoch: 1022, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8929]
train_epoch: 1023, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9047]
train_epoch: 1024, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9154]
train_epoch: 1025, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9264]
train_epoch: 1026, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9373]
train_epoch: 1027, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9466]
train_epoch: 1028, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9569]
train_epoch: 1029, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9694]
train_epoch: 1030, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9851]
train_epoch: 1031, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9979]
train_epoch: 1032, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0110]
train_epoch: 1033, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0227]
train_epoch: 1034, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0351]
train_epoch: 1035, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0484]
train_epoch: 1036, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0606]
train_epoch: 1037, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0768]
train_epoch: 1038, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0897]
train_epoch: 1039, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1003]
train_epoch: 1040, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1118]
train_epoch: 1041, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1251]
train_epoch: 1042, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1364]
train_epoch: 1043, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1459]
