{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.4597]
train_epoch: 1002, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.4750]
train_epoch: 1003, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.4862]
train_epoch: 1004, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.4981]
train_epoch: 1005, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.5107]
train_epoch: 1006, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.5229]
train_epoch: 1007, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.5350]
train_epoch: 1008, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.5468]
train_epoch: 1009, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.5586]
train_epoch: 1010, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.5704]
train_epoch: 1011, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.5827]
train_epoch: 1012, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.5952]
train_epoch: 1013, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.6073]
train_epoch: 1014, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [9.6193]
train_epoch: 1015, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.6318]
train_epoch: 1016, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.6438]
train_epoch: 1017, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.6576]
train_epoch: 1018, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.6702]
train_epoch: 1019, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.6826]
train_epoch: 1020, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.6949]
train_epoch: 1021, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.7068]
train_epoch: 1022, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.7189]
train_epoch: 1023, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.7308]
train_epoch: 1024, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.7425]
train_epoch: 1025, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.7542]
train_epoch: 1026, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.7658]
train_epoch: 1027, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.7773]
train_epoch: 1028, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.7892]
train_epoch: 1029, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.8013]
train_epoch: 1030, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.8135]
train_epoch: 1031, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.8255]
train_epoch: 1032, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.8375]
train_epoch: 1033, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.8530]
train_epoch: 1034, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.8646]
train_epoch: 1035, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.8760]
train_epoch: 1036, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.8872]
train_epoch: 1037, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.8990]
train_epoch: 1038, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.9106]
train_epoch: 1039, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.9224]
train_epoch: 1040, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [9.9345]
train_epoch: 1041, loss: 0.0005, recall20: 0.1400 recall10: 0.0790 [9.9895]
