{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [7.3901]
train_epoch: 1002, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [7.4019]
train_epoch: 1003, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [7.4105]
train_epoch: 1004, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [7.4183]
train_epoch: 1005, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [7.4256]
train_epoch: 1006, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [7.4329]
train_epoch: 1007, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [7.4405]
train_epoch: 1008, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [7.4489]
train_epoch: 1009, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [7.4574]
train_epoch: 1010, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [7.4664]
train_epoch: 1011, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [7.4783]
train_epoch: 1012, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [7.4873]
train_epoch: 1013, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [7.4963]
train_epoch: 1014, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [7.5061]
train_epoch: 1015, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [7.5150]
train_epoch: 1016, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [7.5225]
train_epoch: 1017, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.5304]
train_epoch: 1018, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.5388]
train_epoch: 1019, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.5472]
train_epoch: 1020, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.5557]
train_epoch: 1021, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.5653]
train_epoch: 1022, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.5749]
train_epoch: 1023, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.5842]
train_epoch: 1024, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.5940]
train_epoch: 1025, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.6030]
train_epoch: 1026, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [7.6116]
train_epoch: 1027, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [7.6203]
train_epoch: 1028, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [7.6284]
train_epoch: 1029, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [7.6362]
train_epoch: 1030, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [7.6448]
train_epoch: 1031, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [7.6542]
train_epoch: 1032, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [7.6651]
train_epoch: 1033, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [7.6749]
train_epoch: 1034, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [7.6832]
train_epoch: 1035, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [7.6909]
train_epoch: 1036, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.6990]
train_epoch: 1037, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.7076]
train_epoch: 1038, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.7157]
train_epoch: 1039, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.7252]
train_epoch: 1040, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.7347]
train_epoch: 1041, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.7435]
train_epoch: 1042, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.7525]
train_epoch: 1043, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.7614]
train_epoch: 1044, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.7700]
train_epoch: 1045, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [7.7791]
train_epoch: 1046, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.7883]
train_epoch: 1047, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.7968]
train_epoch: 1048, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.8055]
train_epoch: 1049, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.8144]
train_epoch: 1050, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.8227]
train_epoch: 1051, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.8321]
train_epoch: 1052, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.8413]
train_epoch: 1053, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.8515]
train_epoch: 1054, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.8619]
train_epoch: 1055, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [7.8716]
train_epoch: 1056, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.8817]
train_epoch: 1057, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.8912]
train_epoch: 1058, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.9004]
train_epoch: 1059, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.9095]
train_epoch: 1060, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.9190]
train_epoch: 1061, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.9300]
train_epoch: 1062, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.9386]
train_epoch: 1063, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.9469]
train_epoch: 1064, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.9550]
train_epoch: 1065, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.9634]
train_epoch: 1066, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [7.9716]
train_epoch: 1067, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [7.9800]
train_epoch: 1068, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [7.9889]
train_epoch: 1069, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [7.9977]
train_epoch: 1070, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.0065]
train_epoch: 1071, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.0148]
train_epoch: 1072, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.0237]
train_epoch: 1073, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.0335]
train_epoch: 1074, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.0432]
train_epoch: 1075, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.0525]
train_epoch: 1076, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.0609]
train_epoch: 1077, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.0691]
train_epoch: 1078, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.0774]
train_epoch: 1079, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.0854]
train_epoch: 1080, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.0931]
train_epoch: 1081, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.1020]
train_epoch: 1082, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.1108]
train_epoch: 1083, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.1197]
train_epoch: 1084, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.1278]
train_epoch: 1085, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.1370]
train_epoch: 1086, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.1461]
train_epoch: 1087, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.1550]
