{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.7099]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.7247]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.7396]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.7526]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.7659]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.7785]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.7907]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8037]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8156]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8269]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8414]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8542]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8668]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8801]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8949]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9105]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9225]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9361]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9494]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9626]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9736]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9878]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0018]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0165]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0292]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0420]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0554]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0676]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0797]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0955]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1087]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1258]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1372]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1508]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1614]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1717]
train_epoch: 1037, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1835]
train_epoch: 1038, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.1943]
train_epoch: 1039, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2055]
train_epoch: 1040, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2162]
train_epoch: 1041, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2278]
train_epoch: 1042, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2426]
train_epoch: 1043, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2577]
train_epoch: 1044, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2729]
train_epoch: 1045, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.2918]
train_epoch: 1046, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3061]
train_epoch: 1047, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3197]
train_epoch: 1048, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3339]
train_epoch: 1049, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3452]
train_epoch: 1050, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3582]
train_epoch: 1051, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3722]
train_epoch: 1052, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.3895]
train_epoch: 1053, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4057]
train_epoch: 1054, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4204]
train_epoch: 1055, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4373]
train_epoch: 1056, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4524]
train_epoch: 1057, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4671]
train_epoch: 1058, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4814]
train_epoch: 1059, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.4954]
train_epoch: 1060, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.5087]
train_epoch: 1061, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.5212]
train_epoch: 1062, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.5353]
train_epoch: 1063, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.5499]
train_epoch: 1064, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.5631]
