{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3622, recall20: 0.0000 recall10: 0.0000 [9.1215]
train_epoch: 1002, loss: 0.3622, recall20: 0.0000 recall10: 0.0000 [9.1404]
train_epoch: 1003, loss: 0.3622, recall20: 0.0000 recall10: 0.0000 [9.1520]
train_epoch: 1004, loss: 0.3621, recall20: 0.0000 recall10: 0.0000 [9.1646]
train_epoch: 1005, loss: 0.3620, recall20: 0.0000 recall10: 0.0000 [9.1767]
train_epoch: 1006, loss: 0.3620, recall20: 0.0000 recall10: 0.0000 [9.1891]
train_epoch: 1007, loss: 0.3619, recall20: 0.0000 recall10: 0.0000 [9.2006]
train_epoch: 1008, loss: 0.3619, recall20: 0.0000 recall10: 0.0000 [9.2120]
train_epoch: 1009, loss: 0.3619, recall20: 0.0000 recall10: 0.0000 [9.2236]
train_epoch: 1010, loss: 0.3618, recall20: 0.0000 recall10: 0.0000 [9.2352]
train_epoch: 1011, loss: 0.3618, recall20: 0.0000 recall10: 0.0000 [9.2466]
train_epoch: 1012, loss: 0.3617, recall20: 0.0000 recall10: 0.0000 [9.2583]
train_epoch: 1013, loss: 0.3617, recall20: 0.0000 recall10: 0.0000 [9.2705]
train_epoch: 1014, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [9.2820]
train_epoch: 1015, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [9.2933]
train_epoch: 1016, loss: 0.3616, recall20: 0.0000 recall10: 0.0000 [9.3053]
train_epoch: 1017, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [9.3163]
train_epoch: 1018, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [9.3278]
train_epoch: 1019, loss: 0.3615, recall20: 0.0000 recall10: 0.0000 [9.3390]
train_epoch: 1020, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [9.3503]
train_epoch: 1021, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [9.3619]
train_epoch: 1022, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [9.3734]
train_epoch: 1023, loss: 0.3614, recall20: 0.0000 recall10: 0.0000 [9.3868]
train_epoch: 1024, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [9.3992]
train_epoch: 1025, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [9.4115]
train_epoch: 1026, loss: 0.3613, recall20: 0.0000 recall10: 0.0000 [9.4234]
train_epoch: 1027, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [9.4346]
train_epoch: 1028, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [9.4452]
train_epoch: 1029, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [9.4552]
train_epoch: 1030, loss: 0.3612, recall20: 0.0000 recall10: 0.0000 [9.4651]
train_epoch: 1031, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [9.4751]
train_epoch: 1032, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [9.4873]
train_epoch: 1033, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [9.4981]
train_epoch: 1034, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [9.5093]
train_epoch: 1035, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [9.5199]
train_epoch: 1036, loss: 0.3611, recall20: 0.0000 recall10: 0.0000 [9.5309]
train_epoch: 1037, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [9.5423]
train_epoch: 1038, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [9.5537]
train_epoch: 1039, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [9.5646]
train_epoch: 1040, loss: 0.3610, recall20: 0.0000 recall10: 0.0000 [9.5754]
train_epoch: 1041, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [9.5857]
train_epoch: 1042, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [9.5986]
train_epoch: 1043, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [9.6093]
train_epoch: 1044, loss: 0.3609, recall20: 0.0000 recall10: 0.0000 [9.6194]
train_epoch: 1045, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [9.6292]
train_epoch: 1046, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [9.6394]
train_epoch: 1047, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [9.6497]
train_epoch: 1048, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [9.6618]
train_epoch: 1049, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [9.6725]
train_epoch: 1050, loss: 0.3608, recall20: 0.0000 recall10: 0.0000 [9.6832]
train_epoch: 1051, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [9.6938]
train_epoch: 1052, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [9.7039]
train_epoch: 1053, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [9.7140]
train_epoch: 1054, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [9.7245]
train_epoch: 1055, loss: 0.3607, recall20: 0.1431 recall10: 0.0815 [9.7604]
