{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3844, recall20: 0.0000 recall10: 0.0000 [7.5572]
train_epoch: 1002, loss: 0.3844, recall20: 0.0000 recall10: 0.0000 [7.5674]
train_epoch: 1003, loss: 0.3844, recall20: 0.0000 recall10: 0.0000 [7.5763]
train_epoch: 1004, loss: 0.3844, recall20: 0.0000 recall10: 0.0000 [7.5854]
train_epoch: 1005, loss: 0.3843, recall20: 0.0000 recall10: 0.0000 [7.5940]
train_epoch: 1006, loss: 0.3843, recall20: 0.0000 recall10: 0.0000 [7.6023]
train_epoch: 1007, loss: 0.3842, recall20: 0.0000 recall10: 0.0000 [7.6109]
train_epoch: 1008, loss: 0.3842, recall20: 0.0000 recall10: 0.0000 [7.6198]
train_epoch: 1009, loss: 0.3842, recall20: 0.0000 recall10: 0.0000 [7.6287]
train_epoch: 1010, loss: 0.3842, recall20: 0.0000 recall10: 0.0000 [7.6379]
train_epoch: 1011, loss: 0.3842, recall20: 0.0000 recall10: 0.0000 [7.6469]
train_epoch: 1012, loss: 0.3841, recall20: 0.0000 recall10: 0.0000 [7.6695]
train_epoch: 1013, loss: 0.3841, recall20: 0.0000 recall10: 0.0000 [7.6775]
train_epoch: 1014, loss: 0.3841, recall20: 0.0000 recall10: 0.0000 [7.6858]
train_epoch: 1015, loss: 0.3841, recall20: 0.0000 recall10: 0.0000 [7.6936]
train_epoch: 1016, loss: 0.3841, recall20: 0.0000 recall10: 0.0000 [7.7013]
train_epoch: 1017, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [7.7095]
train_epoch: 1018, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [7.7211]
train_epoch: 1019, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [7.7327]
train_epoch: 1020, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [7.7448]
train_epoch: 1021, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [7.7567]
train_epoch: 1022, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [7.7687]
train_epoch: 1023, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [7.7808]
train_epoch: 1024, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [7.7928]
train_epoch: 1025, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [7.8048]
train_epoch: 1026, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.8168]
train_epoch: 1027, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.8289]
train_epoch: 1028, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.8410]
train_epoch: 1029, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.8529]
train_epoch: 1030, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.8653]
train_epoch: 1031, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.8769]
train_epoch: 1032, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.8850]
train_epoch: 1033, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.8937]
train_epoch: 1034, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.9020]
train_epoch: 1035, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [7.9103]
train_epoch: 1036, loss: 0.3838, recall20: 0.0000 recall10: 0.0000 [7.9184]
train_epoch: 1037, loss: 0.3838, recall20: 0.0000 recall10: 0.0000 [7.9268]
train_epoch: 1038, loss: 0.3837, recall20: 0.0000 recall10: 0.0000 [7.9350]
train_epoch: 1039, loss: 0.3837, recall20: 0.0570 recall10: 0.0346 [7.9722]
