{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [7.9412]
train_epoch: 1002, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [7.9618]
train_epoch: 1003, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [7.9713]
train_epoch: 1004, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [7.9805]
train_epoch: 1005, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [7.9900]
train_epoch: 1006, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [7.9995]
train_epoch: 1007, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0103]
train_epoch: 1008, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0210]
train_epoch: 1009, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0308]
train_epoch: 1010, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0412]
train_epoch: 1011, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0512]
train_epoch: 1012, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0605]
train_epoch: 1013, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0707]
train_epoch: 1014, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0799]
train_epoch: 1015, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0895]
train_epoch: 1016, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.0992]
train_epoch: 1017, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.1089]
train_epoch: 1018, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.1197]
train_epoch: 1019, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.1308]
train_epoch: 1020, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.1419]
train_epoch: 1021, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.1525]
train_epoch: 1022, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.1615]
train_epoch: 1023, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.1710]
train_epoch: 1024, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.1798]
train_epoch: 1025, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.1911]
train_epoch: 1026, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2016]
train_epoch: 1027, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2108]
train_epoch: 1028, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2205]
train_epoch: 1029, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2300]
train_epoch: 1030, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2396]
train_epoch: 1031, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2491]
train_epoch: 1032, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2586]
train_epoch: 1033, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2671]
train_epoch: 1034, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2776]
train_epoch: 1035, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.2870]
train_epoch: 1036, loss: 0.3696, recall20: 0.1401 recall10: 0.0774 [8.3545]
