{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [5.9978]
train_epoch: 1002, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [6.0092]
train_epoch: 1003, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [6.0172]
train_epoch: 1004, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [6.0247]
train_epoch: 1005, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [6.0333]
train_epoch: 1006, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [6.0422]
train_epoch: 1007, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [6.0496]
train_epoch: 1008, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [6.0577]
train_epoch: 1009, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [6.0658]
train_epoch: 1010, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [6.0737]
train_epoch: 1011, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [6.0823]
train_epoch: 1012, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [6.0904]
train_epoch: 1013, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [6.0983]
train_epoch: 1014, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [6.1066]
train_epoch: 1015, loss: 0.0047, recall20: 0.0000 recall10: 0.0000 [6.1143]
train_epoch: 1016, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [6.1219]
train_epoch: 1017, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [6.1294]
train_epoch: 1018, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [6.1372]
train_epoch: 1019, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [6.1448]
train_epoch: 1020, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [6.1530]
train_epoch: 1021, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [6.1611]
train_epoch: 1022, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [6.1689]
train_epoch: 1023, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [6.1773]
train_epoch: 1024, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [6.1856]
train_epoch: 1025, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [6.1932]
train_epoch: 1026, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [6.2015]
train_epoch: 1027, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [6.2097]
train_epoch: 1028, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [6.2174]
train_epoch: 1029, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [6.2255]
train_epoch: 1030, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [6.2333]
train_epoch: 1031, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [6.2411]
train_epoch: 1032, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [6.2494]
train_epoch: 1033, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [6.2574]
train_epoch: 1034, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [6.2653]
train_epoch: 1035, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [6.2735]
train_epoch: 1036, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [6.2815]
train_epoch: 1037, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [6.2893]
train_epoch: 1038, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [6.2976]
train_epoch: 1039, loss: 0.0044, recall20: 0.0000 recall10: 0.0000 [6.3056]
train_epoch: 1040, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [6.3131]
train_epoch: 1041, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [6.3210]
train_epoch: 1042, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [6.3285]
train_epoch: 1043, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [6.3358]
train_epoch: 1044, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [6.3437]
train_epoch: 1045, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [6.3518]
train_epoch: 1046, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [6.3596]
train_epoch: 1047, loss: 0.0043, recall20: 0.0000 recall10: 0.0000 [6.3680]
train_epoch: 1048, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [6.3761]
train_epoch: 1049, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [6.3837]
train_epoch: 1050, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [6.3921]
train_epoch: 1051, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [6.4002]
train_epoch: 1052, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [6.4080]
train_epoch: 1053, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [6.4159]
train_epoch: 1054, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [6.4238]
train_epoch: 1055, loss: 0.0042, recall20: 0.0000 recall10: 0.0000 [6.4311]
train_epoch: 1056, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [6.4391]
train_epoch: 1057, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [6.4473]
train_epoch: 1058, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [6.4559]
train_epoch: 1059, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [6.4638]
train_epoch: 1060, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [6.4718]
train_epoch: 1061, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [6.4798]
train_epoch: 1062, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [6.4923]
train_epoch: 1063, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [6.5006]
train_epoch: 1064, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [6.5082]
train_epoch: 1065, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5154]
train_epoch: 1066, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5304]
train_epoch: 1067, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5397]
train_epoch: 1068, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5462]
train_epoch: 1069, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5522]
train_epoch: 1070, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5581]
train_epoch: 1071, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5639]
train_epoch: 1072, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5696]
train_epoch: 1073, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5752]
train_epoch: 1074, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [6.5807]
train_epoch: 1075, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [6.5862]
train_epoch: 1076, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [6.5917]
train_epoch: 1077, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [6.5972]
train_epoch: 1078, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [6.6027]
train_epoch: 1079, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [6.6081]
train_epoch: 1080, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [6.6135]
train_epoch: 1081, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [6.6189]
train_epoch: 1082, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [6.6242]
