{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 0.0361, recall20: 0.0000 recall10: 0.0000 [7.3003]
train_epoch: 1002, loss: 0.0360, recall20: 0.0000 recall10: 0.0000 [7.3120]
train_epoch: 1003, loss: 0.0360, recall20: 0.0000 recall10: 0.0000 [7.3217]
train_epoch: 1004, loss: 0.0359, recall20: 0.0000 recall10: 0.0000 [7.3303]
train_epoch: 1005, loss: 0.0359, recall20: 0.0000 recall10: 0.0000 [7.3410]
train_epoch: 1006, loss: 0.0358, recall20: 0.0000 recall10: 0.0000 [7.3508]
train_epoch: 1007, loss: 0.0358, recall20: 0.0000 recall10: 0.0000 [7.3589]
train_epoch: 1008, loss: 0.0357, recall20: 0.0000 recall10: 0.0000 [7.3672]
train_epoch: 1009, loss: 0.0357, recall20: 0.0000 recall10: 0.0000 [7.3777]
train_epoch: 1010, loss: 0.0356, recall20: 0.0000 recall10: 0.0000 [7.3901]
train_epoch: 1011, loss: 0.0356, recall20: 0.0000 recall10: 0.0000 [7.4016]
train_epoch: 1012, loss: 0.0355, recall20: 0.0000 recall10: 0.0000 [7.4136]
train_epoch: 1013, loss: 0.0355, recall20: 0.0000 recall10: 0.0000 [7.4261]
train_epoch: 1014, loss: 0.0354, recall20: 0.0000 recall10: 0.0000 [7.4384]
train_epoch: 1015, loss: 0.0354, recall20: 0.0000 recall10: 0.0000 [7.4505]
train_epoch: 1016, loss: 0.0353, recall20: 0.0000 recall10: 0.0000 [7.4599]
train_epoch: 1017, loss: 0.0353, recall20: 0.0000 recall10: 0.0000 [7.4682]
train_epoch: 1018, loss: 0.0352, recall20: 0.0000 recall10: 0.0000 [7.4790]
train_epoch: 1019, loss: 0.0352, recall20: 0.0000 recall10: 0.0000 [7.4872]
train_epoch: 1020, loss: 0.0351, recall20: 0.0000 recall10: 0.0000 [7.4950]
train_epoch: 1021, loss: 0.0351, recall20: 0.0000 recall10: 0.0000 [7.5043]
train_epoch: 1022, loss: 0.0350, recall20: 0.0000 recall10: 0.0000 [7.5129]
train_epoch: 1023, loss: 0.0350, recall20: 0.0000 recall10: 0.0000 [7.5234]
train_epoch: 1024, loss: 0.0349, recall20: 0.0000 recall10: 0.0000 [7.5319]
train_epoch: 1025, loss: 0.0349, recall20: 0.0000 recall10: 0.0000 [7.5418]
train_epoch: 1026, loss: 0.0348, recall20: 0.0000 recall10: 0.0000 [7.5497]
train_epoch: 1027, loss: 0.0348, recall20: 0.0000 recall10: 0.0000 [7.5588]
train_epoch: 1028, loss: 0.0347, recall20: 0.0000 recall10: 0.0000 [7.5680]
train_epoch: 1029, loss: 0.0347, recall20: 0.0000 recall10: 0.0000 [7.5745]
train_epoch: 1030, loss: 0.0346, recall20: 0.0000 recall10: 0.0000 [7.5845]
train_epoch: 1031, loss: 0.0346, recall20: 0.0000 recall10: 0.0000 [7.5952]
train_epoch: 1032, loss: 0.0345, recall20: 0.0000 recall10: 0.0000 [7.6038]
train_epoch: 1033, loss: 0.0345, recall20: 0.0000 recall10: 0.0000 [7.6144]
train_epoch: 1034, loss: 0.0344, recall20: 0.0000 recall10: 0.0000 [7.6279]
train_epoch: 1035, loss: 0.0344, recall20: 0.0000 recall10: 0.0000 [7.6374]
train_epoch: 1036, loss: 0.0343, recall20: 0.0000 recall10: 0.0000 [7.6479]
train_epoch: 1037, loss: 0.0343, recall20: 0.0000 recall10: 0.0000 [7.6567]
train_epoch: 1038, loss: 0.0342, recall20: 0.0000 recall10: 0.0000 [7.6671]
train_epoch: 1039, loss: 0.0342, recall20: 0.0000 recall10: 0.0000 [7.6760]
train_epoch: 1040, loss: 0.0341, recall20: 0.0000 recall10: 0.0000 [7.6860]
train_epoch: 1041, loss: 0.0341, recall20: 0.0000 recall10: 0.0000 [7.6935]
train_epoch: 1042, loss: 0.0340, recall20: 0.0000 recall10: 0.0000 [7.7018]
train_epoch: 1043, loss: 0.0340, recall20: 0.0000 recall10: 0.0000 [7.7104]
train_epoch: 1044, loss: 0.0339, recall20: 0.0000 recall10: 0.0000 [7.7205]
train_epoch: 1045, loss: 0.0339, recall20: 0.0000 recall10: 0.0000 [7.7288]
train_epoch: 1046, loss: 0.0338, recall20: 0.0000 recall10: 0.0000 [7.7379]
train_epoch: 1047, loss: 0.0338, recall20: 0.0000 recall10: 0.0000 [7.7477]
train_epoch: 1048, loss: 0.0337, recall20: 0.0000 recall10: 0.0000 [7.7587]
train_epoch: 1049, loss: 0.0337, recall20: 0.0000 recall10: 0.0000 [7.7693]
train_epoch: 1050, loss: 0.0336, recall20: 0.0000 recall10: 0.0000 [7.7794]
train_epoch: 1051, loss: 0.0336, recall20: 0.0000 recall10: 0.0000 [7.7890]
train_epoch: 1052, loss: 0.0335, recall20: 0.0000 recall10: 0.0000 [7.7977]
train_epoch: 1053, loss: 0.0335, recall20: 0.0000 recall10: 0.0000 [7.8071]
train_epoch: 1054, loss: 0.0335, recall20: 0.0000 recall10: 0.0000 [7.8149]
train_epoch: 1055, loss: 0.0334, recall20: 0.0000 recall10: 0.0000 [7.8255]
train_epoch: 1056, loss: 0.0334, recall20: 0.0000 recall10: 0.0000 [7.8340]
train_epoch: 1057, loss: 0.0333, recall20: 0.0000 recall10: 0.0000 [7.8438]
train_epoch: 1058, loss: 0.0333, recall20: 0.0000 recall10: 0.0000 [7.8532]
train_epoch: 1059, loss: 0.0332, recall20: 0.0000 recall10: 0.0000 [7.8609]
train_epoch: 1060, loss: 0.0332, recall20: 0.0000 recall10: 0.0000 [7.8686]
train_epoch: 1061, loss: 0.0331, recall20: 0.0000 recall10: 0.0000 [7.8753]
train_epoch: 1062, loss: 0.0331, recall20: 0.0000 recall10: 0.0000 [7.8847]
train_epoch: 1063, loss: 0.0330, recall20: 0.0000 recall10: 0.0000 [7.8914]
train_epoch: 1064, loss: 0.0330, recall20: 0.0000 recall10: 0.0000 [7.9015]
train_epoch: 1065, loss: 0.0329, recall20: 0.0000 recall10: 0.0000 [7.9099]
train_epoch: 1066, loss: 0.0329, recall20: 0.0000 recall10: 0.0000 [7.9163]
train_epoch: 1067, loss: 0.0328, recall20: 0.0000 recall10: 0.0000 [7.9261]
train_epoch: 1068, loss: 0.0328, recall20: 0.0000 recall10: 0.0000 [7.9339]
train_epoch: 1069, loss: 0.0328, recall20: 0.0000 recall10: 0.0000 [7.9431]
train_epoch: 1070, loss: 0.0327, recall20: 0.0000 recall10: 0.0000 [7.9512]
train_epoch: 1071, loss: 0.0327, recall20: 0.0000 recall10: 0.0000 [7.9586]
train_epoch: 1072, loss: 0.0326, recall20: 0.0000 recall10: 0.0000 [7.9690]
train_epoch: 1073, loss: 0.0326, recall20: 0.0000 recall10: 0.0000 [7.9791]
train_epoch: 1074, loss: 0.0325, recall20: 0.0000 recall10: 0.0000 [7.9875]
train_epoch: 1075, loss: 0.0325, recall20: 0.0000 recall10: 0.0000 [7.9983]
train_epoch: 1076, loss: 0.0324, recall20: 0.0000 recall10: 0.0000 [8.0103]
train_epoch: 1077, loss: 0.0324, recall20: 0.0000 recall10: 0.0000 [8.0212]
train_epoch: 1078, loss: 0.0324, recall20: 0.0000 recall10: 0.0000 [8.0335]
train_epoch: 1079, loss: 0.0323, recall20: 0.0000 recall10: 0.0000 [8.0427]
train_epoch: 1080, loss: 0.0323, recall20: 0.0000 recall10: 0.0000 [8.0521]
train_epoch: 1081, loss: 0.0322, recall20: 0.0000 recall10: 0.0000 [8.0632]
train_epoch: 1082, loss: 0.0322, recall20: 0.0000 recall10: 0.0000 [8.0726]
train_epoch: 1083, loss: 0.0321, recall20: 0.0000 recall10: 0.0000 [8.0816]
train_epoch: 1084, loss: 0.0321, recall20: 0.0000 recall10: 0.0000 [8.0903]
train_epoch: 1085, loss: 0.0320, recall20: 0.0000 recall10: 0.0000 [8.1008]
train_epoch: 1086, loss: 0.0320, recall20: 0.0000 recall10: 0.0000 [8.1146]
train_epoch: 1087, loss: 0.0320, recall20: 0.0000 recall10: 0.0000 [8.1235]
train_epoch: 1088, loss: 0.0319, recall20: 0.0000 recall10: 0.0000 [8.1333]
train_epoch: 1089, loss: 0.0319, recall20: 0.0000 recall10: 0.0000 [8.1410]
train_epoch: 1090, loss: 0.0318, recall20: 0.0000 recall10: 0.0000 [8.1498]
train_epoch: 1091, loss: 0.0318, recall20: 0.0000 recall10: 0.0000 [8.1610]
train_epoch: 1092, loss: 0.0317, recall20: 0.0000 recall10: 0.0000 [8.1704]
train_epoch: 1093, loss: 0.0317, recall20: 0.0000 recall10: 0.0000 [8.1813]
train_epoch: 1094, loss: 0.0316, recall20: 0.0000 recall10: 0.0000 [8.1898]
train_epoch: 1095, loss: 0.0316, recall20: 0.0000 recall10: 0.0000 [8.2002]
train_epoch: 1096, loss: 0.0316, recall20: 0.0000 recall10: 0.0000 [8.2090]
train_epoch: 1097, loss: 0.0315, recall20: 0.0000 recall10: 0.0000 [8.2198]
train_epoch: 1098, loss: 0.0315, recall20: 0.0000 recall10: 0.0000 [8.2314]
train_epoch: 1099, loss: 0.0314, recall20: 0.0000 recall10: 0.0000 [8.2434]
train_epoch: 1100, loss: 0.0314, recall20: 0.0000 recall10: 0.0000 [8.2509]
train_epoch: 1101, loss: 0.0313, recall20: 0.0000 recall10: 0.0000 [8.2633]
train_epoch: 1102, loss: 0.0313, recall20: 0.0000 recall10: 0.0000 [8.2745]
train_epoch: 1103, loss: 0.0313, recall20: 0.0000 recall10: 0.0000 [8.2857]
train_epoch: 1104, loss: 0.0312, recall20: 0.0000 recall10: 0.0000 [8.2968]
train_epoch: 1105, loss: 0.0312, recall20: 0.0000 recall10: 0.0000 [8.3061]
train_epoch: 1106, loss: 0.0311, recall20: 0.0000 recall10: 0.0000 [8.3166]
train_epoch: 1107, loss: 0.0311, recall20: 0.0000 recall10: 0.0000 [8.3266]
train_epoch: 1108, loss: 0.0310, recall20: 0.0000 recall10: 0.0000 [8.3337]
train_epoch: 1109, loss: 0.0310, recall20: 0.0000 recall10: 0.0000 [8.3447]
train_epoch: 1110, loss: 0.0310, recall20: 0.0000 recall10: 0.0000 [8.3549]
train_epoch: 1111, loss: 0.0309, recall20: 0.0000 recall10: 0.0000 [8.3646]
train_epoch: 1112, loss: 0.0309, recall20: 0.0000 recall10: 0.0000 [8.3750]
train_epoch: 1113, loss: 0.0308, recall20: 0.0000 recall10: 0.0000 [8.3835]
train_epoch: 1114, loss: 0.0308, recall20: 0.0000 recall10: 0.0000 [8.3932]
train_epoch: 1115, loss: 0.0308, recall20: 0.0000 recall10: 0.0000 [8.4001]
train_epoch: 1116, loss: 0.0307, recall20: 0.0000 recall10: 0.0000 [8.4097]
train_epoch: 1117, loss: 0.0307, recall20: 0.0000 recall10: 0.0000 [8.4172]
train_epoch: 1118, loss: 0.0306, recall20: 0.0000 recall10: 0.0000 [8.4260]
train_epoch: 1119, loss: 0.0306, recall20: 0.0000 recall10: 0.0000 [8.4338]
train_epoch: 1120, loss: 0.0305, recall20: 0.0000 recall10: 0.0000 [8.4442]
train_epoch: 1121, loss: 0.0305, recall20: 0.0000 recall10: 0.0000 [8.4520]
train_epoch: 1122, loss: 0.0305, recall20: 0.0000 recall10: 0.0000 [8.4620]
train_epoch: 1123, loss: 0.0304, recall20: 0.0000 recall10: 0.0000 [8.4708]
train_epoch: 1124, loss: 0.0304, recall20: 0.0000 recall10: 0.0000 [8.4788]
