{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 0.2961, recall20: 0.0000 recall10: 0.0000 [6.5499]
train_epoch: 1002, loss: 0.2961, recall20: 0.0000 recall10: 0.0000 [6.5582]
train_epoch: 1003, loss: 0.2961, recall20: 0.0000 recall10: 0.0000 [6.5647]
train_epoch: 1004, loss: 0.2961, recall20: 0.0000 recall10: 0.0000 [6.5709]
train_epoch: 1005, loss: 0.2961, recall20: 0.0000 recall10: 0.0000 [6.5770]
train_epoch: 1006, loss: 0.2960, recall20: 0.0000 recall10: 0.0000 [6.5831]
train_epoch: 1007, loss: 0.2960, recall20: 0.0000 recall10: 0.0000 [6.5898]
train_epoch: 1008, loss: 0.2960, recall20: 0.0000 recall10: 0.0000 [6.5967]
train_epoch: 1009, loss: 0.2960, recall20: 0.0000 recall10: 0.0000 [6.6032]
train_epoch: 1010, loss: 0.2960, recall20: 0.0000 recall10: 0.0000 [6.6099]
train_epoch: 1011, loss: 0.2960, recall20: 0.0000 recall10: 0.0000 [6.6165]
train_epoch: 1012, loss: 0.2960, recall20: 0.0000 recall10: 0.0000 [6.6231]
train_epoch: 1013, loss: 0.2960, recall20: 0.0000 recall10: 0.0000 [6.6301]
train_epoch: 1014, loss: 0.2960, recall20: 0.0000 recall10: 0.0000 [6.6368]
train_epoch: 1015, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.6433]
train_epoch: 1016, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.6497]
train_epoch: 1017, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.6562]
train_epoch: 1018, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.6629]
train_epoch: 1019, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.6703]
train_epoch: 1020, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.6768]
train_epoch: 1021, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.6832]
train_epoch: 1022, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.6898]
train_epoch: 1023, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.6965]
train_epoch: 1024, loss: 0.2959, recall20: 0.0000 recall10: 0.0000 [6.7045]
train_epoch: 1025, loss: 0.2958, recall20: 0.0000 recall10: 0.0000 [6.7111]
train_epoch: 1026, loss: 0.2958, recall20: 0.0000 recall10: 0.0000 [6.7173]
train_epoch: 1027, loss: 0.2958, recall20: 0.0000 recall10: 0.0000 [6.7235]
train_epoch: 1028, loss: 0.2958, recall20: 0.0000 recall10: 0.0000 [6.7297]
train_epoch: 1029, loss: 0.2958, recall20: 0.0000 recall10: 0.0000 [6.7364]
train_epoch: 1030, loss: 0.2958, recall20: 0.0000 recall10: 0.0000 [6.7432]
