{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2446]
train_epoch: 1002, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2522]
train_epoch: 1003, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2573]
train_epoch: 1004, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2621]
train_epoch: 1005, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2669]
train_epoch: 1006, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2718]
train_epoch: 1007, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2767]
train_epoch: 1008, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2816]
train_epoch: 1009, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2864]
train_epoch: 1010, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2917]
train_epoch: 1011, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.2968]
train_epoch: 1012, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3017]
train_epoch: 1013, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3068]
train_epoch: 1014, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3117]
train_epoch: 1015, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3170]
train_epoch: 1016, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3223]
train_epoch: 1017, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3277]
train_epoch: 1018, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3327]
train_epoch: 1019, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3377]
train_epoch: 1020, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3426]
train_epoch: 1021, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3475]
train_epoch: 1022, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3524]
train_epoch: 1023, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3578]
train_epoch: 1024, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3636]
train_epoch: 1025, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3692]
train_epoch: 1026, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3750]
train_epoch: 1027, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3809]
train_epoch: 1028, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3866]
train_epoch: 1029, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3923]
train_epoch: 1030, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.3986]
train_epoch: 1031, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4046]
train_epoch: 1032, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4111]
train_epoch: 1033, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4191]
train_epoch: 1034, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4246]
train_epoch: 1035, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4305]
train_epoch: 1036, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4362]
train_epoch: 1037, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4415]
train_epoch: 1038, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4467]
train_epoch: 1039, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4525]
train_epoch: 1040, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4585]
train_epoch: 1041, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4640]
train_epoch: 1042, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4694]
train_epoch: 1043, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4746]
train_epoch: 1044, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4797]
train_epoch: 1045, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4847]
train_epoch: 1046, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4905]
train_epoch: 1047, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.4963]
train_epoch: 1048, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5018]
train_epoch: 1049, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5075]
train_epoch: 1050, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5128]
train_epoch: 1051, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5179]
train_epoch: 1052, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5229]
train_epoch: 1053, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5279]
train_epoch: 1054, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5332]
train_epoch: 1055, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5383]
train_epoch: 1056, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5437]
train_epoch: 1057, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5488]
train_epoch: 1058, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5539]
train_epoch: 1059, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5595]
train_epoch: 1060, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5650]
train_epoch: 1061, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5704]
train_epoch: 1062, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5759]
train_epoch: 1063, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5813]
train_epoch: 1064, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5868]
train_epoch: 1065, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5921]
train_epoch: 1066, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.5975]
train_epoch: 1067, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6035]
train_epoch: 1068, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6094]
train_epoch: 1069, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6149]
train_epoch: 1070, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6203]
train_epoch: 1071, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6258]
train_epoch: 1072, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6309]
train_epoch: 1073, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6363]
train_epoch: 1074, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6417]
train_epoch: 1075, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6471]
train_epoch: 1076, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6526]
train_epoch: 1077, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6581]
train_epoch: 1078, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6636]
train_epoch: 1079, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6691]
train_epoch: 1080, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6747]
train_epoch: 1081, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6807]
train_epoch: 1082, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6868]
train_epoch: 1083, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6924]
train_epoch: 1084, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.6977]
train_epoch: 1085, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7031]
train_epoch: 1086, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7083]
train_epoch: 1087, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7135]
train_epoch: 1088, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7193]
train_epoch: 1089, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7251]
train_epoch: 1090, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7309]
train_epoch: 1091, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7367]
train_epoch: 1092, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7425]
train_epoch: 1093, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7481]
train_epoch: 1094, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7534]
train_epoch: 1095, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7590]
train_epoch: 1096, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7648]
train_epoch: 1097, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7705]
train_epoch: 1098, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7759]
train_epoch: 1099, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7811]
train_epoch: 1100, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7864]
train_epoch: 1101, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7915]
train_epoch: 1102, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.7966]
train_epoch: 1103, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.8017]
train_epoch: 1104, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.8075]
train_epoch: 1105, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.8134]
train_epoch: 1106, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.8188]
train_epoch: 1107, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.8244]
train_epoch: 1108, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.8298]
train_epoch: 1109, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [4.8354]
