{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.0923]
train_epoch: 1002, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1045]
train_epoch: 1003, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1111]
train_epoch: 1004, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1170]
train_epoch: 1005, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1228]
train_epoch: 1006, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1295]
train_epoch: 1007, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1354]
train_epoch: 1008, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1409]
train_epoch: 1009, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1469]
train_epoch: 1010, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1526]
train_epoch: 1011, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1583]
train_epoch: 1012, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1641]
train_epoch: 1013, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1703]
train_epoch: 1014, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1768]
train_epoch: 1015, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1835]
train_epoch: 1016, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1905]
train_epoch: 1017, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.1970]
train_epoch: 1018, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.2034]
train_epoch: 1019, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.2101]
train_epoch: 1020, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.2174]
train_epoch: 1021, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.2240]
train_epoch: 1022, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.2304]
train_epoch: 1023, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.2360]
train_epoch: 1024, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.2412]
train_epoch: 1025, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [5.2466]
