{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 0.3921, recall20: 0.0000 recall10: 0.0000 [34.9855]
train_epoch: 1002, loss: 0.3921, recall20: 0.0000 recall10: 0.0000 [35.0284]
train_epoch: 1003, loss: 0.3920, recall20: 0.0000 recall10: 0.0000 [35.0677]
train_epoch: 1004, loss: 0.3920, recall20: 0.0000 recall10: 0.0000 [35.1021]
train_epoch: 1005, loss: 0.3920, recall20: 0.0000 recall10: 0.0000 [35.1427]
train_epoch: 1006, loss: 0.3919, recall20: 0.0000 recall10: 0.0000 [35.1851]
train_epoch: 1007, loss: 0.3919, recall20: 0.0000 recall10: 0.0000 [35.2244]
train_epoch: 1008, loss: 0.3919, recall20: 0.0000 recall10: 0.0000 [35.2612]
train_epoch: 1009, loss: 0.3918, recall20: 0.0000 recall10: 0.0000 [35.2904]
train_epoch: 1010, loss: 0.3918, recall20: 0.0000 recall10: 0.0000 [35.3280]
train_epoch: 1011, loss: 0.3918, recall20: 0.0000 recall10: 0.0000 [35.3380]
train_epoch: 1012, loss: 0.3918, recall20: 0.0000 recall10: 0.0000 [35.3551]
train_epoch: 1013, loss: 0.3917, recall20: 0.0000 recall10: 0.0000 [35.3767]
train_epoch: 1014, loss: 0.3917, recall20: 0.0000 recall10: 0.0000 [35.3996]
train_epoch: 1015, loss: 0.3917, recall20: 0.0000 recall10: 0.0000 [35.4076]
train_epoch: 1016, loss: 0.3916, recall20: 0.0000 recall10: 0.0000 [35.4168]
train_epoch: 1017, loss: 0.3916, recall20: 0.0000 recall10: 0.0000 [35.4269]
train_epoch: 1018, loss: 0.3915, recall20: 0.0000 recall10: 0.0000 [35.4376]
train_epoch: 1019, loss: 0.3915, recall20: 0.0000 recall10: 0.0000 [35.4482]
train_epoch: 1020, loss: 0.3915, recall20: 0.0000 recall10: 0.0000 [35.4574]
train_epoch: 1021, loss: 0.3914, recall20: 0.0000 recall10: 0.0000 [35.4692]
train_epoch: 1022, loss: 0.3914, recall20: 0.0000 recall10: 0.0000 [35.4795]
train_epoch: 1023, loss: 0.3914, recall20: 0.0000 recall10: 0.0000 [35.4883]
train_epoch: 1024, loss: 0.3913, recall20: 0.0000 recall10: 0.0000 [35.4979]
train_epoch: 1025, loss: 0.3913, recall20: 0.0000 recall10: 0.0000 [35.5067]
train_epoch: 1026, loss: 0.3912, recall20: 0.0000 recall10: 0.0000 [35.5158]
train_epoch: 1027, loss: 0.3912, recall20: 0.0000 recall10: 0.0000 [35.5252]
train_epoch: 1028, loss: 0.3911, recall20: 0.0000 recall10: 0.0000 [35.5335]
train_epoch: 1029, loss: 0.3911, recall20: 0.0000 recall10: 0.0000 [35.5428]
train_epoch: 1030, loss: 0.3910, recall20: 0.0000 recall10: 0.0000 [35.5515]
train_epoch: 1031, loss: 0.3910, recall20: 0.0000 recall10: 0.0000 [35.5597]
train_epoch: 1032, loss: 0.3909, recall20: 0.0000 recall10: 0.0000 [35.5673]
train_epoch: 1033, loss: 0.3909, recall20: 0.0000 recall10: 0.0000 [35.5766]
train_epoch: 1034, loss: 0.3909, recall20: 0.0000 recall10: 0.0000 [35.5849]
train_epoch: 1035, loss: 0.3908, recall20: 0.0000 recall10: 0.0000 [35.5950]
train_epoch: 1036, loss: 0.3908, recall20: 0.0000 recall10: 0.0000 [35.6042]
train_epoch: 1037, loss: 0.3907, recall20: 0.0000 recall10: 0.0000 [35.6128]
train_epoch: 1038, loss: 0.3907, recall20: 0.0000 recall10: 0.0000 [35.6207]
train_epoch: 1039, loss: 0.3906, recall20: 0.0000 recall10: 0.0000 [35.6296]
train_epoch: 1040, loss: 0.3906, recall20: 0.0000 recall10: 0.0000 [35.6390]
train_epoch: 1041, loss: 0.3905, recall20: 0.0000 recall10: 0.0000 [35.6476]
train_epoch: 1042, loss: 0.3905, recall20: 0.0000 recall10: 0.0000 [35.6563]
train_epoch: 1043, loss: 0.3904, recall20: 0.0000 recall10: 0.0000 [35.6657]
train_epoch: 1044, loss: 0.3904, recall20: 0.0000 recall10: 0.0000 [35.6749]
train_epoch: 1045, loss: 0.3904, recall20: 0.0000 recall10: 0.0000 [35.6833]
train_epoch: 1046, loss: 0.3903, recall20: 0.0000 recall10: 0.0000 [35.6926]
train_epoch: 1047, loss: 0.3903, recall20: 0.0000 recall10: 0.0000 [35.7016]
train_epoch: 1048, loss: 0.3902, recall20: 0.0000 recall10: 0.0000 [35.7101]
train_epoch: 1049, loss: 0.3902, recall20: 0.0000 recall10: 0.0000 [35.7197]
train_epoch: 1050, loss: 0.3902, recall20: 0.0000 recall10: 0.0000 [35.7289]
train_epoch: 1051, loss: 0.3901, recall20: 0.0000 recall10: 0.0000 [35.7377]
train_epoch: 1052, loss: 0.3901, recall20: 0.0000 recall10: 0.0000 [35.7460]
train_epoch: 1053, loss: 0.3900, recall20: 0.0000 recall10: 0.0000 [35.7557]
train_epoch: 1054, loss: 0.3900, recall20: 0.0000 recall10: 0.0000 [35.7648]
train_epoch: 1055, loss: 0.3899, recall20: 0.0000 recall10: 0.0000 [35.7736]
train_epoch: 1056, loss: 0.3899, recall20: 0.0000 recall10: 0.0000 [35.7827]
train_epoch: 1057, loss: 0.3898, recall20: 0.0000 recall10: 0.0000 [35.7928]
train_epoch: 1058, loss: 0.3898, recall20: 0.0000 recall10: 0.0000 [35.8025]
train_epoch: 1059, loss: 0.3898, recall20: 0.0000 recall10: 0.0000 [35.8116]
train_epoch: 1060, loss: 0.3897, recall20: 0.0000 recall10: 0.0000 [35.8204]
train_epoch: 1061, loss: 0.3897, recall20: 0.0000 recall10: 0.0000 [35.8292]
train_epoch: 1062, loss: 0.3896, recall20: 0.0000 recall10: 0.0000 [35.8381]
