{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.4707]
train_epoch: 1002, loss: 0.0041, recall20: 0.0000 recall10: 0.0000 [8.4840]
train_epoch: 1003, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.4912]
train_epoch: 1004, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.5034]
train_epoch: 1005, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.5158]
train_epoch: 1006, loss: 0.0040, recall20: 0.0000 recall10: 0.0000 [8.5262]
train_epoch: 1007, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [8.5364]
train_epoch: 1008, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [8.5464]
train_epoch: 1009, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [8.5586]
train_epoch: 1010, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [8.5684]
train_epoch: 1011, loss: 0.0039, recall20: 0.0000 recall10: 0.0000 [8.5811]
train_epoch: 1012, loss: 0.0038, recall20: 0.0000 recall10: 0.0000 [8.5925]
train_epoch: 1013, loss: 0.0038, recall20: 0.0000 recall10: 0.0000 [8.6016]
train_epoch: 1014, loss: 0.0038, recall20: 0.0000 recall10: 0.0000 [8.6122]
train_epoch: 1015, loss: 0.0038, recall20: 0.0000 recall10: 0.0000 [8.6236]
train_epoch: 1016, loss: 0.0037, recall20: 0.0000 recall10: 0.0000 [8.6343]
train_epoch: 1017, loss: 0.0037, recall20: 0.0000 recall10: 0.0000 [8.6436]
train_epoch: 1018, loss: 0.0037, recall20: 0.0000 recall10: 0.0000 [8.6576]
train_epoch: 1019, loss: 0.0037, recall20: 0.0000 recall10: 0.0000 [8.6709]
train_epoch: 1020, loss: 0.0037, recall20: 0.0000 recall10: 0.0000 [8.6838]
train_epoch: 1021, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [8.6983]
train_epoch: 1022, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [8.7096]
train_epoch: 1023, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [8.7213]
train_epoch: 1024, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [8.7346]
train_epoch: 1025, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [8.7454]
train_epoch: 1026, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [8.7585]
train_epoch: 1027, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [8.7712]
train_epoch: 1028, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [8.7833]
train_epoch: 1029, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [8.7954]
train_epoch: 1030, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [8.8068]
train_epoch: 1031, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [8.8189]
train_epoch: 1032, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [8.8309]
train_epoch: 1033, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [8.8421]
train_epoch: 1034, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [8.8499]
train_epoch: 1035, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [8.8592]
train_epoch: 1036, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [8.8702]
train_epoch: 1037, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [8.8804]
train_epoch: 1038, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [8.8894]
train_epoch: 1039, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [8.8978]
train_epoch: 1040, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [8.9062]
train_epoch: 1041, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [8.9150]
